League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Ligue_1,2020-10-16,1800,Dijon,Rennes,4.4,3.55,1.75,1.80,1.67,1.72,1.75,1.95,None,1.17,None,2020-10-15,24
Championship,2020-10-16,1945,Derby County,Watford,3.2,3.15,2.2,1.87,1.63,1.65,1.83,1.57,None,1.31,None,2020-10-15,27
Ligue_1,2020-10-16,2000,Nimes,PSG,9.5,6.45,1.22,1.25,2.84,1.61,1.9,3.80,None,1.03,None,2020-10-15,24
La_Liga,2020-10-17,1200,Granada CF,Sevilha,4.0,3.3,1.9,2.00,1.60,1.83,1.72,1.80,None,1.2,None,2020-10-15,45
RFPL,2020-10-17,1200,Zenit Sao Petersburgo,PFC Sochi,1.38,4.65,7.05,1.63,1.83,1.87,1.6,1.06,None,2.8,None,2020-10-15,32
Premier_League,2020-10-17,1230,Everton,Liverpool,3.65,3.85,1.83,1.45,2.25,1.42,2.33,1.87,None,1.24,None,2020-10-15,52
Premiership,2020-10-17,1230,Celtic,Rangers,2.4,3.4,2.7,1.78,1.70,1.63,1.87,1.40,None,1.5,None,2020-10-15,31
Serie_A,2020-10-17,1400,Napoles,Atalanta,2.45,3.7,2.5,1.36,2.54,1.31,2.72,1.47,None,1.47,None,2020-10-15,50
Bundesliga,2020-10-17,1430,Augsburgo,RB Leipzig,5.15,4.25,1.53,1.45,2.25,1.5,2.14,2.33,None,1.13,None,2020-10-15,20
Bundesliga,2020-10-17,1430,Hoffenheim,Borussia Dortmund,3.9,4.0,1.75,1.33,2.64,1.33,2.62,1.95,None,1.21,None,2020-10-15,20
RFPL,2020-10-17,1430,Lokomotiv Moscovo,FC Ufa,1.57,3.75,5.55,2.04,1.50,2.05,1.5,1.11,None,2.2,None,2020-10-15,32
Bundesliga,2020-10-17,1430,Hertha Berlin,Estugarda,2.02,3.6,3.25,1.47,2.2,1.42,2.37,1.30,None,1.7,None,2020-10-15,20
Bundesliga,2020-10-17,1430,Mainz 05,Bayer Leverkusen,4.95,4.15,1.57,1.38,2.45,1.42,2.33,2.25,None,1.14,None,2020-10-15,20
RFPL,2020-10-17,1430,Krasnodar,Rubin Kazan,1.83,3.75,3.75,1.67,1.78,1.63,1.83,1.22,None,1.88,None,2020-10-15,32
Bundesliga,2020-10-17,1430,Friburgo,Werder Bremen,2.2,3.35,3.05,1.72,1.83,1.57,2.02,1.33,None,1.6,None,2020-10-15,20
Premiership,2020-10-17,1500,Hamilton Academical,FC St Johnstone,3.7,3.5,1.91,1.83,1.65,1.72,1.75,1.78,None,1.23,None,2020-10-15,31
Championship,2020-10-17,1500,Luton Town,Stoke City,2.96,3.1,2.37,1.95,1.57,1.72,1.75,1.50,None,1.35,None,2020-10-15,27
Championship,2020-10-17,1500,Swansea City,Huddersfield,1.95,3.35,3.7,1.91,1.60,1.75,1.72,1.23,None,1.75,None,2020-10-15,27
Championship,2020-10-17,1500,Birmingham,Sheffield Wednesday,2.6,2.96,2.8,2.05,1.50,1.78,1.7,1.38,None,1.44,None,2020-10-15,27
Championship,2020-10-17,1500,Barnsley FC,Bristol City,2.54,3.25,2.65,1.80,1.67,1.61,1.9,1.42,None,1.45,None,2020-10-15,27
Premiership,2020-10-17,1500,St Mirren,Motherwell FC,3.0,3.3,2.25,1.87,1.63,1.67,1.8,1.57,None,1.33,None,2020-10-15,31
Championship,2020-10-17,1500,Rotherham,Norwich City,3.5,3.35,2.02,1.80,1.67,1.67,1.8,1.72,None,1.26,None,2020-10-15,27
Championship,2020-10-17,1500,Brentford FC,Coventry City,1.61,3.9,4.85,1.67,1.80,1.67,1.8,1.14,None,2.16,None,2020-10-15,27
Championship,2020-10-17,1500,Blackburn Rovers,Nottingham Forest,1.95,3.35,3.7,1.88,1.61,1.72,1.75,1.23,None,1.75,None,2020-10-15,27
La_Liga,2020-10-17,1500,Celta de Vigo,Atletico de Madrid,5.25,3.2,1.72,2.19,1.50,2.02,1.57,1.95,None,1.12,None,2020-10-15,45
Championship,2020-10-17,1500,Middlesbrough,Reading,2.14,3.2,3.35,1.95,1.57,1.72,1.75,1.28,None,1.63,None,2020-10-15,27
Championship,2020-10-17,1500,Bournemouth,Queens Park Rangers,1.7,3.6,4.7,1.72,1.75,1.67,1.8,1.15,None,2.05,None,2020-10-15,27
Premiership,2020-10-17,1500,Ross County,Hibernian FC,3.9,3.55,1.85,1.80,1.67,1.72,1.75,1.85,None,1.21,None,2020-10-15,31
Premier_League,2020-10-17,1500,Chelsea,Southampton,1.47,4.45,5.55,1.47,2.20,1.6,2.0,1.11,None,2.45,None,2020-10-15,52
Premiership,2020-10-17,1500,Dundee United,Aberdeen FC,3.35,3.3,2.1,1.95,1.57,1.75,1.72,1.65,None,1.28,None,2020-10-15,31
Championship,2020-10-17,1500,Wycombe,Millwall FC,4.5,3.4,1.78,1.83,1.65,1.72,1.75,1.91,None,1.17,None,2020-10-15,27
Primeira_Liga,2020-10-17,1530,Gil Vicente FC,CD Tondela,2.05,3.15,3.6,2.05,1.50,1.83,1.65,1.25,None,1.67,None,2020-10-15,48
Primeira_Liga,2020-10-17,1530,CS Maritimo,Portimonense,2.35,3.0,3.1,2.05,1.50,1.75,1.72,1.32,None,1.53,None,2020-10-15,48
Ligue_1,2020-10-17,1600,Stade Reims,FC Lorient,2.1,3.15,3.55,1.95,1.57,1.75,1.72,1.26,None,1.67,None,2020-10-15,24
Serie_A,2020-10-17,1700,Sampdoria,Lazio,3.2,3.45,2.1,1.57,2.02,1.47,2.2,1.65,None,1.3,None,2020-10-15,50
RFPL,2020-10-17,1700,FK Khimki,Spartak Moscovo,6.1,4.0,1.5,1.80,1.65,1.91,1.57,2.40,None,1.09,None,2020-10-15,32
Serie_A,2020-10-17,1700,Inter de Milao,AC Milao,2.2,3.45,2.96,1.61,1.95,1.5,2.16,1.35,None,1.57,None,2020-10-15,50
Bundesliga,2020-10-17,1730,Arminia Bielefeld,Bayern Munique,10.0,6.95,1.2,1.22,3.2,1.61,1.95,4.10,None,1.03,None,2020-10-15,20
La_Liga,2020-10-17,1730,Real Madrid,Cadiz CF,1.22,6.2,10.0,1.50,2.13,2.05,1.55,1.03,None,3.85,None,2020-10-15,45
Premier_League,2020-10-17,1730,Manchester City,Arsenal,1.4,4.7,6.55,1.36,2.54,1.5,2.17,1.07,None,2.74,None,2020-10-15,52
Eredivisie,2020-10-17,1745,Heracles Almelo,RKC Waalwijk,1.5,4.3,5.4,1.47,2.12,1.57,1.95,1.12,None,2.37,None,2020-10-15,17
Primeira_Liga,2020-10-17,1800,SC Braga,CD Nacional Madeira,1.38,4.45,7.5,1.57,1.95,1.75,1.72,1.05,None,2.78,None,2020-10-15,48
Eredivisie,2020-10-17,1900,AZ Alkmaar,VVV Venlo,1.24,6.0,9.5,1.35,2.45,1.72,1.75,1.03,None,3.65,None,2020-10-15,17
Bundesliga,2020-10-17,1930,Borussia Monchengladbach,Wolfsburgo,1.83,3.7,3.8,1.57,2.02,1.53,2.1,1.22,None,1.88,None,2020-10-15,20
Serie_A,2020-10-17,1945,FC Crotone,Juventus,6.3,4.15,1.47,1.60,2.00,1.7,1.85,2.52,None,1.08,None,2020-10-15,50
Eredivisie,2020-10-17,2000,Willem II Tilburg,FC Twente Enschede,1.91,3.7,3.5,1.60,1.90,1.55,2.0,1.26,None,1.8,None,2020-10-15,17
La_Liga,2020-10-17,2000,Getafe,Barcelona,4.65,3.55,1.72,1.80,1.75,1.72,1.83,2.02,None,1.15,None,2020-10-15,45
Ligue_1,2020-10-17,2000,Marselha,Bordeus,2.0,3.25,3.7,1.91,1.60,1.72,1.75,1.23,None,1.72,None,2020-10-15,24
Premier_League,2020-10-17,2000,Newcastle,Manchester United,4.55,3.95,1.65,1.63,1.95,1.65,1.91,2.11,None,1.16,None,2020-10-15,52
