League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Eredivisie,2020-10-17,1745,Ajax,SC Heerenveen,1.2,6.8,10.0,1.19,3.25,1.55,2.0,1.03,None,4.1,None,2020-10-09,1531
Primeira_Liga,2020-10-17,1800,SC Braga,CD Nacional Madeira,1.32,4.95,8.5,1.55,2.00,1.87,1.63,1.04,None,3.1,None,2020-10-09,1559
Eredivisie,2020-10-17,1900,Willem II Tilburg,FC Twente Enschede,1.91,3.7,3.5,1.60,1.90,1.55,2.0,1.26,None,1.8,None,2020-10-09,1531
Eredivisie,2020-10-17,1900,Heracles Almelo,RKC Waalwijk,1.53,4.1,5.45,1.47,2.12,1.53,2.02,1.11,None,2.33,None,2020-10-09,1531
Serie_A,2020-10-17,1945,FC Crotone,Juventus,9.0,5.4,1.28,1.50,2.18,1.88,1.67,3.40,None,1.03,None,2020-10-09,1600
Eredivisie,2020-10-17,2000,AZ Alkmaar,VVV Venlo,1.26,5.95,8.5,1.33,2.52,1.65,1.83,1.04,None,3.5,None,2020-10-09,1531
Ligue_1,2020-10-17,2000,Marselha,Bordeus,1.95,3.3,3.8,1.90,1.60,1.72,1.75,1.23,None,1.75,None,2020-10-09,1537
Primeira_Liga,2020-10-17,2030,Sporting CP,FC Porto,3.2,3.2,2.2,1.80,1.67,1.63,1.87,1.60,None,1.3,None,2020-10-09,1559
Eredivisie,2020-10-18,1115,Feyenoord,Sparta Rotterdam,1.38,5.1,6.25,1.35,2.45,1.53,2.02,1.08,None,2.8,None,2020-10-09,1531
Serie_A,2020-10-18,1130,Bolonha,Sassuolo,2.84,3.65,2.2,1.50,2.18,1.42,2.35,1.57,None,1.38,None,2020-10-09,1600
Ligue_1,2020-10-18,1200,Estrasburgo,Lyon,4.05,3.25,1.9,1.80,1.67,1.67,1.8,1.80,None,1.2,None,2020-10-09,1537
Championship,2020-10-18,1200,Preston,Cardiff,2.3,3.15,3.05,1.95,1.57,1.72,1.75,1.33,None,1.55,None,2020-10-09,1539
Eredivisie,2020-10-18,1330,Den Haag,Vitesse,3.95,3.55,1.83,1.57,1.95,1.5,2.05,1.88,None,1.21,None,2020-10-09,1531
Eredivisie,2020-10-18,1330,FC Emmen,Fortuna Sittard,2.15,3.6,2.96,1.45,2.17,1.38,2.35,1.35,None,1.63,None,2020-10-09,1531
Serie_A,2020-10-18,1400,Spezia,Fiorentina,4.7,3.85,1.65,1.63,1.95,1.63,1.95,2.10,None,1.16,None,2020-10-09,1600
Premier_League,2020-10-18,1400,Crystal Palace FC,Brighton,2.63,3.1,2.65,2.00,1.60,1.75,1.8,1.42,None,1.42,None,2020-10-09,1601
Serie_A,2020-10-18,1400,Torino,Cagliari,2.16,3.35,3.15,1.72,1.83,1.6,2.0,1.31,None,1.63,None,2020-10-09,1600
Ligue_1,2020-10-18,1400,Monaco,Montpellier,1.91,3.55,3.65,1.61,1.88,1.53,2.0,1.24,None,1.78,None,2020-10-09,1537
Ligue_1,2020-10-18,1400,Nantes,Stade Brestois 29,2.11,3.4,3.2,1.80,1.67,1.65,1.83,1.30,None,1.65,None,2020-10-09,1537
Ligue_1,2020-10-18,1400,Angers,FC Metz,2.04,3.2,3.6,2.11,1.47,1.87,1.63,1.24,None,1.7,None,2020-10-09,1537
Bundesliga,2020-10-18,1430,Colonia,Eintracht Frankfurt,2.86,3.55,2.25,1.44,2.3,1.38,2.45,1.57,None,1.38,None,2020-10-09,1534
Primeira_Liga,2020-10-18,1500,FC Pacos Ferreira,CD Santa Clara,2.56,3.35,2.56,2.05,1.50,1.83,1.65,1.45,None,1.45,None,2020-10-09,1559
Primeira_Liga,2020-10-18,1500,Belenenses SAD,Moreirense FC,2.35,3.2,2.92,2.05,1.50,1.83,1.65,1.36,None,1.53,None,2020-10-09,1559
Eredivisie,2020-10-18,1545,FC Groningen,FC Utrecht,3.1,3.3,2.19,1.61,1.88,1.5,2.05,1.61,None,1.32,None,2020-10-09,1531
Eredivisie,2020-10-18,1545,PEC Zwolle,PSV Eindhoven,4.95,4.15,1.57,1.42,2.25,1.47,2.13,2.25,None,1.14,None,2020-10-09,1531
Ligue_1,2020-10-18,1600,Saint-Etienne,Nice,2.25,3.05,3.2,1.87,1.63,1.63,1.87,1.30,None,1.55,None,2020-10-09,1537
Premier_League,2020-10-18,1630,Tottenham,West Ham,1.61,3.9,4.95,1.55,2.05,1.57,2.04,1.14,None,2.19,None,2020-10-09,1601
Serie_A,2020-10-18,1700,Udinese,Parma,2.12,3.3,3.3,1.85,1.70,1.67,1.88,1.28,None,1.65,None,2020-10-09,1600
