AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameCheck,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
,,,,,,,,,,,,,St Mirren,,,,"3:00pm, Saturday 31st October 2020.",0,0,Postponed : Fixture Clash,425637,,,,,,,,,,,,,,Celtic,,, Scottish Premiership
,,,,,,,,,,,,,Dundee United,,,,"3:00pm, Saturday 5th December 2020.",0,0,,425657,,,,,,,,,,,,,,Livingston,,, Scottish Premiership
,,,,,,,,,,,,,Aberdeen,,,,"7:00pm, Wednesday 25th November 2020.",0,0,,425639,,,,,,,,,,,,,,Hamilton Academical,,, Scottish Premiership
,,,,,,,,,,,,,Aberdeen,,,,"12:00pm, Sunday 22nd November 2020.",0,0,,425653,,,,,,,,,,,,,,Rangers,,, Scottish Premiership
,,,,,,,,,,,,,Kilmarnock,,,,"3:00pm, Saturday 5th December 2020.",0,0,,425656,,,,,,,,,,,,,,Hamilton Academical,,, Scottish Premiership
,,,,,,,,,,,,,St. Johnstone,,,,"7:00pm, Tuesday 24th November 2020.",0,0,,425640,,,,,,,,,,,,,,Hibernian,,, Scottish Premiership
,,,,,,,,,,,,,Motherwell,,,,"3:00pm, Saturday 21st November 2020.",0,0,,425654,,,,,,,,,,,,,,St. Johnstone,,, Scottish Premiership
,,,,,,,,,,,,,St Mirren,,,,"3:00pm, Saturday 21st November 2020.",0,0,,425652,,,,,,,,,,,,,,Livingston,,, Scottish Premiership
,,,,,,,,,,,,,Celtic,,,,"3:00pm, Saturday 21st November 2020.",0,0,,425650,,,,,,,,,,,,,,Hibernian,,, Scottish Premiership
,,,,,,,,,,,,,Hamilton Academical,,,,"3:00pm, Saturday 21st November 2020.",0,0,,425649,,,,,,,,,,,,,,Dundee United,,, Scottish Premiership
,,,,,,,,,,,,,Ross County,,,,"3:00pm, Saturday 21st November 2020.",0,0,,425651,,,,,,,,,,,,,,Kilmarnock,,, Scottish Premiership
,,,,,,,,,,,,,Napoli,,,,"5:00pm, Sunday 8th November 2020.",0,0,,434386,,,,,,,,,,,,,,Bologna,,, Italian Serie A
,,,,,,,,,,,,,Hamilton Academical,,,,"3:00pm, Sunday 8th November 2020.",0,0,,425645,,,,,,,,,,,,,,Rangers,,, Scottish Premiership
,,,,,,,,,,,,,Liverpool,,,,"4:30pm, Sunday 8th November 2020.",0,0,,428913,,,,,,,,,,,,,,Manchester City,,, Premier League
,,,,,,,,,,,,,Real Madrid,,,,"8:00pm, Sunday 8th November 2020.",0,0,,433862,,,,,,,,,,,,,,Valencia,,, Spanish La Liga
,,,,,,,,,,,,,RC Lens,,,,"8:00pm, Friday 30th October 2020.",0,0,,431444,,,,,,,,,,,,,,Marseille,,, French Ligue 1
,,,,,,,,,,,,,Birmingham City,,,,"3:00pm, Saturday 31st October 2020.",0,0,,429808,,,,,,,,,,,,,,Preston North End,,, Sky Bet Championship
,,,,,,,,,,,,,Nottingham Forest,,,,"3:00pm, Saturday 31st October 2020.",0,0,,429806,,,,,,,,,,,,,,Middlesbrough,,, Sky Bet Championship
,,,,,,,,,,,,,Huddersfield Town,,,,"3:00pm, Saturday 31st October 2020.",0,0,,429807,,,,,,,,,,,,,,Millwall,,, Sky Bet Championship
,,,,,,,,,,,,,Brentford,,,,"3:00pm, Saturday 31st October 2020.",0,0,,429805,,,,,,,,,,,,,,Luton Town,,, Sky Bet Championship
,,,,,,,,,,,,,Derby County,,,,"3:00pm, Saturday 31st October 2020.",0,0,,429802,,,,,,,,,,,,,,Bournemouth,,, Sky Bet Championship
,,,,,,,,,,,,,Queens Park Rangers,,,,"7:00pm, Tuesday 27th October 2020.",0,3,,429789,,,,,,,,,,,,,,Barnsley,,, Sky Bet Championship
,,,,,,,,,,,,,Watford,,,,"3:00pm, Saturday 31st October 2020.",0,0,,429801,,,,,,,,,,,,,,Barnsley,,, Sky Bet Championship
,,,,,,,,,,,,,Reading,,,,"7:45pm, Friday 30th October 2020.",0,0,,429804,,,,,,,,,,,,,,Coventry City,,, Sky Bet Championship
,,,,,,,,,,,,,Norwich City,,,,"12:30pm, Saturday 31st October 2020.",0,0,,429803,,,,,,,,,,,,,,Bristol City,,, Sky Bet Championship
,,,,,,,,,,,,,Millwall,,,,"7:00pm, Wednesday 28th October 2020.",0,0,,429799,,,,,,,,,,,,,,Preston North End,,, Sky Bet Championship
,,,,,,,,,,,,,Nottingham Forest,,,,"7:45pm, Wednesday 28th October 2020.",0,0,,429798,,,,,,,,,,,,,,Luton Town,,, Sky Bet Championship
,,,,,,,,,,,,,Coventry City,,,,"7:45pm, Tuesday 27th October 2020.",0,2,,429792,,,,,,,,,,,,,,Middlesbrough,,, Sky Bet Championship
,,,,,,,,,,,,,Sheffield Wednesday,,,,"7:45pm, Wednesday 28th October 2020.",0,0,,429800,,,,,,,,,,,,,,Rotherham United,,, Sky Bet Championship
,,,,,,,,,,,,,Bristol City,,,,"7:45pm, Wednesday 28th October 2020.",0,0,,429796,,,,,,,,,,,,,,Bournemouth,,, Sky Bet Championship
,,,,,,,,,,,,,Cardiff City,,,,"7:45pm, Wednesday 28th October 2020.",0,0,,429797,,,,,,,,,,,,,,Derby County,,, Sky Bet Championship
,,,,,,,,,,,,,Huddersfield Town,,,,"7:45pm, Wednesday 28th October 2020.",0,0,,429795,,,,,,,,,,,,,,Birmingham City,,, Sky Bet Championship
