web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
"1599408790-3","https://understat.com/league/RFPL","120.651.54","https://understat.com/match/14026","FC Rotor Volgograd","PFC Sochi","RFPL","Aug 22 2020","1","2","0.65","1.54","13","17","2","8","4","8","10.24","15.21","0.64","2.11"
"1599409948-129","https://understat.com/league/La_liga","030.760.71","https://understat.com/match/12347","Leganes","Sevilla","La liga","Jun 30 2020","0","3","0.76","0.71","9","11","3","6","2","3","10.12","9.87","1.38","1.24"
"1599409696-100","https://understat.com/league/EPL","503.570.79","https://understat.com/match/12017","Manchester City","Norwich","EPL","Jul 26 2020","5","0","3.57","0.79","31","5","10","4","37","2","6.60","31.00","2.79","0.14"
"1599409519-79","https://understat.com/league/EPL","050.155.52","https://understat.com/match/11985","Brighton","Manchester City","EPL","Jul 11 2020","0","5","0.15","5.52","3","26","0","8","5","14","27.06","9.60","0.00","3.00"
"1599409630-92","https://understat.com/league/EPL","210.731.13","https://understat.com/match/11981","Watford","Norwich","EPL","Jul 07 2020","2","1","0.73","1.13","9","12","4","3","6","7","11.23","9.00","0.92","1.76"
"1599409195-44","https://understat.com/league/Serie_A","311.931.10","https://understat.com/match/13462","Napoli","Lazio","Serie A","Aug 01 2020","3","1","1.93","1.10","13","8","6","3","14","4","12.95","24.69","2.03","0.72"
"1599409553-83","https://understat.com/league/EPL","040.613.81","https://understat.com/match/11988","Norwich","West Ham","EPL","Jul 11 2020","0","4","0.61","3.81","11","19","2","7","7","9","14.11","20.88","0.05","2.92"
"1599409786-111","https://understat.com/league/EPL","000.860.93","https://understat.com/match/12005","Brighton","Newcastle United","EPL","Jul 20 2020","0","0","0.86","0.93","11","12","3","1","4","3","6.73","15.43","1.27","1.39"
"1599409704-101","https://understat.com/league/EPL","130.340.57","https://understat.com/match/12016","Newcastle United","Liverpool","EPL","Jul 26 2020","1","3","0.34","0.57","3","14","2","6","0","7","19.17","6.00","1.07","1.46"
"1599409873-120","https://understat.com/league/La_liga","101.760.35","https://understat.com/match/12349","Real Madrid","Getafe","La liga","Jul 02 2020","1","0","1.76","0.35","8","10","4","3","3","1","4.27","8.02","2.57","0.28"
"1599409437-71","https://understat.com/league/Bundesliga","040.753.22","https://understat.com/match/12703","Wolfsburg","Bayern Munich","Bundesliga","Jun 27 2020","0","4","0.75","3.22","12","16","4","9","2","7","15.24","10.32","0.16","2.77"
"1599409318-57","https://understat.com/league/Bundesliga","111.470.89","https://understat.com/match/12679","Schalke 04","Bayer Leverkusen","Bundesliga","Jun 14 2020","1","1","1.47","0.89","7","15","4","5","2","6","18.19","4.64","1.93","0.80"
"1599410138-152","https://understat.com/league/La_liga","120.371.25","https://understat.com/match/12382","Villarreal","Real Sociedad","La liga","Jul 13 2020","1","2","0.37","1.25","9","11","3","6","3","9","12.00","14.19","0.57","2.15"
"1599410113-149","https://understat.com/league/La_liga","231.651.40","https://understat.com/match/12383","Celta Vigo","Levante","La liga","Jul 16 2020","2","3","1.65","1.40","15","8","6","4","9","3","5.29","9.08","1.54","1.17"
"1599409923-126","https://understat.com/league/La_liga","021.021.24","https://understat.com/match/12343","Alaves","Granada","La liga","Jul 01 2020","0","2","1.02","1.24","11","7","4","4","5","5","4.80","7.12","1.13","1.54"
"1599410031-139","https://understat.com/league/La_liga","050.273.63","https://understat.com/match/12393","Alaves","Barcelona","La liga","Jul 19 2020","0","5","0.27","3.63","8","16","0","8","4","11","17.46","6.69","0.03","2.96"
"1599409671-97","https://understat.com/league/EPL","110.990.31","https://understat.com/match/12020","Crystal Palace","Tottenham","EPL","Jul 26 2020","1","1","0.99","0.31","13","7","2","2","6","3","13.24","6.31","2.05","0.62"
"1599409687-99","https://understat.com/league/EPL","020.751.41","https://understat.com/match/12018","Leicester","Manchester United","EPL","Jul 26 2020","0","2","0.75","1.41","14","7","3","3","2","9","9.86","8.03","0.74","1.98"
