web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
1603835320-176,https://understat.com/league/Serie_A,332.822.36,https://understat.com/match/15473,AC Milan,Roma,Serie A,Oct 26 2020,3,3,2.82,2.36,13,12,8,7,11,7,13.42,17.0,1.68,1.08
1603835565-206,https://understat.com/league/La_liga,210.171.24,https://understat.com/match/14844,Elche,Valencia,La liga,Oct 23 2020,2,1,0.17,1.24,3,14,2,4,1,8,15.83,11.41,0.33,2.43
1603835203-161,https://understat.com/league/RFPL,131.691.23,https://understat.com/match/14318,FC Krasnodar,Spartak Moscow,RFPL,Oct 24 2020,1,3,1.69,1.23,17,13,6,5,3,5,10.6,8.08,1.76,0.96
1603835313-175,https://understat.com/league/Serie_A,000.880.38,https://understat.com/match/15465,Verona,Genoa,Serie A,Oct 19 2020,0,0,0.88,0.38,18,6,10,2,9,1,6.9,12.86,1.8,0.82
1603835277-170,https://understat.com/league/Serie_A,422.081.41,https://understat.com/match/15468,Cagliari,Crotone,Serie A,Oct 25 2020,4,2,2.08,1.41,19,12,8,6,9,6,13.81,13.06,1.88,0.88
1603835588-208,https://understat.com/league/Ligue_1,413.431.89,https://understat.com/match/15827,Lyon,Monaco,Ligue 1,Oct 25 2020,4,1,3.43,1.89,15,18,6,5,6,7,18.89,6.96,2.34,0.51
1603835440-190,https://understat.com/league/EPL,000.650.22,https://understat.com/match/14491,Manchester United,Chelsea,EPL,Oct 24 2020,0,0,0.65,0.22,14,6,4,1,6,1,22.06,14.68,1.73,0.79
1603835455-192,https://understat.com/league/EPL,110.260.89,https://understat.com/match/14493,West Ham,Manchester City,EPL,Oct 24 2020,1,1,0.26,0.89,6,14,2,7,2,13,20.3,13.08,0.68,1.94
1603835426-188,https://understat.com/league/EPL,200.740.29,https://understat.com/match/14492,Southampton,Everton,EPL,Oct 25 2020,2,0,0.74,0.29,12,6,6,2,6,6,13.88,11.69,1.75,0.82
1603835411-186,https://understat.com/league/EPL,010.740.74,https://understat.com/match/14485,Arsenal,Leicester,EPL,Oct 25 2020,0,1,0.74,0.74,12,6,4,2,5,2,11.0,26.21,1.27,1.35
