League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Eredivisie,2020-10-18,1115,Feyenoord,Sparta Rotterdam,1.38,4.8,7.0,1.36,2.4,1.53,2.04,1.06,None,2.86,None,2020-10-06,1235
Serie_A,2020-10-18,1130,Bolonha,Sassuolo,2.9,3.45,2.25,1.50,2.19,1.4,2.4,1.57,None,1.36,None,2020-10-06,1302
Ligue_1,2020-10-18,1200,Estrasburgo,Lyon,4.05,3.25,1.9,1.83,1.65,1.67,1.8,1.80,None,1.2,None,2020-10-06,1240
Championship,2020-10-18,1200,Preston,Cardiff,2.25,3.3,2.98,1.91,1.60,1.7,1.78,1.33,None,1.55,None,2020-10-06,1242
Eredivisie,2020-10-18,1330,FC Emmen,Fortuna Sittard,2.11,3.45,3.15,1.45,2.17,1.38,2.35,1.31,None,1.65,None,2020-10-06,1235
Eredivisie,2020-10-18,1330,Den Haag,Vitesse,3.95,3.55,1.83,1.57,1.95,1.5,2.05,1.88,None,1.21,None,2020-10-06,1235
Ligue_1,2020-10-18,1400,Angers,FC Metz,2.02,3.25,3.6,2.12,1.47,1.9,1.61,1.24,None,1.7,None,2020-10-06,1240
Serie_A,2020-10-18,1400,Spezia,Fiorentina,4.65,3.85,1.65,1.63,1.95,1.61,1.95,2.10,None,1.16,None,2020-10-06,1302
Ligue_1,2020-10-18,1400,Monaco,Montpellier,1.88,3.45,3.85,1.61,1.88,1.53,2.02,1.22,None,1.8,None,2020-10-06,1240
Premier_League,2020-10-18,1400,Crystal Palace FC,Brighton,2.63,3.1,2.65,2.02,1.57,1.75,1.8,1.42,None,1.42,None,2020-10-06,1303
Serie_A,2020-10-18,1400,Torino,Cagliari,2.2,3.35,3.05,1.75,1.80,1.61,1.95,1.33,None,1.6,None,2020-10-06,1302
Ligue_1,2020-10-18,1400,Nantes,Stade Brestois 29,2.11,3.4,3.2,1.80,1.67,1.65,1.83,1.30,None,1.65,None,2020-10-06,1240
Bundesliga,2020-10-18,1430,Colonia,Eintracht Frankfurt,2.8,3.55,2.25,1.44,2.3,1.36,2.5,1.55,None,1.38,None,2020-10-06,1237
Eredivisie,2020-10-18,1545,FC Groningen,FC Utrecht,3.1,3.35,2.18,1.60,1.91,1.47,2.12,1.61,None,1.32,None,2020-10-06,1235
Eredivisie,2020-10-18,1545,PEC Zwolle,PSV Eindhoven,4.6,4.15,1.61,1.42,2.25,1.47,2.13,2.19,None,1.16,None,2020-10-06,1235
Ligue_1,2020-10-18,1600,Saint-Etienne,Nice,2.3,3.0,3.25,1.87,1.63,1.63,1.87,1.30,None,1.55,None,2020-10-06,1240
Premier_League,2020-10-18,1630,Tottenham,West Ham,1.61,3.85,5.0,1.60,2.00,1.61,1.95,1.14,None,2.19,None,2020-10-06,1303
Serie_A,2020-10-18,1700,Udinese,Parma,2.1,3.2,3.5,1.83,1.72,1.65,1.91,1.26,None,1.67,None,2020-10-06,1302
La_Liga,2020-10-18,1800,Athletic Bilbao,Levante,1.95,3.2,3.95,2.20,1.47,1.95,1.61,1.21,None,1.75,None,2020-10-06,1258
Serie_A,2020-10-18,1945,AS Roma,Benevento Calcio,1.3,5.0,9.0,1.42,2.35,1.67,1.87,1.03,None,3.2,None,2020-10-06,1302
La_Liga,2020-10-18,2000,Granada CF,Sevilha,3.35,3.25,2.12,2.00,1.60,1.78,1.75,1.65,None,1.28,None,2020-10-06,1258
La_Liga,2020-10-18,2000,Getafe,Barcelona,4.25,3.65,1.75,1.67,1.87,1.65,1.91,1.95,None,1.18,None,2020-10-06,1258
La_Liga,2020-10-18,2000,Villarreal,Valencia,1.75,3.6,4.35,1.67,1.87,1.63,1.95,1.17,None,1.95,None,2020-10-06,1258
La_Liga,2020-10-18,2000,Alaves,Elche CF,2.0,3.05,4.0,2.54,1.36,2.17,1.5,1.21,None,1.72,None,2020-10-06,1258
La_Liga,2020-10-18,2000,Real Madrid,Cadiz CF,1.2,6.15,11.5,1.50,2.19,2.1,1.53,1.02,None,4.0,None,2020-10-06,1258
La_Liga,2020-10-18,2000,Huesca,Real Valladolid,2.58,2.86,2.92,2.63,1.33,2.13,1.5,1.35,None,1.44,None,2020-10-06,1258
La_Liga,2020-10-18,2000,Eibar,CA Osasuna,2.35,3.05,3.05,2.25,1.45,1.91,1.65,1.33,None,1.53,None,2020-10-06,1258
La_Liga,2020-10-18,2000,Celta de Vigo,Atletico de Madrid,4.8,3.35,1.75,2.20,1.47,2.05,1.55,1.95,None,1.15,None,2020-10-06,1258
La_Liga,2020-10-18,2000,Betis,Real Sociedad,2.45,3.4,2.65,1.75,1.80,1.6,2.0,1.42,None,1.47,None,2020-10-06,1258
Ligue_1,2020-10-18,2000,Lille,RC Lens,1.9,3.35,3.9,1.91,1.60,1.75,1.72,1.21,None,1.8,None,2020-10-06,1240
RFPL,2020-10-19,1800,Rostov,FC Akhmat Grozny,1.95,3.25,3.8,1.91,1.57,1.72,1.72,1.23,None,1.72,None,2020-10-06,1246
RFPL,2020-10-19,1800,Arsenal Tula,Ural Sverdlovskaya Oblast,2.3,3.05,3.15,1.87,1.60,1.65,1.8,1.31,None,1.55,None,2020-10-06,1246
RFPL,2020-10-19,1800,Zenit Sao Petersburgo,PFC Sochi,1.44,4.15,7.1,1.67,1.78,1.8,1.65,1.06,None,2.62,None,2020-10-06,1246
RFPL,2020-10-19,1800,FK Khimki,Spartak Moscovo,6.75,3.7,1.5,1.85,1.61,1.91,1.57,2.40,None,1.07,None,2020-10-06,1246
RFPL,2020-10-19,1800,Lokomotiv Moscovo,FC Ufa,1.55,3.5,6.7,2.10,1.47,2.1,1.47,1.07,None,2.3,None,2020-10-06,1246
