League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
RFPL,2020-08-25,1630,Tambov,PFC Sochi,3.35,2.9,1.87,2.02,1.47,1.8,1.6,1.72,None,1.22,2020-08-25,1157
RFPL,2020-08-25,1830,Arsenal Tula,FK Khimki,1.95,2.84,3.2,2.0,1.47,1.75,1.65,1.24,None,1.65,2020-08-25,1157
RFPL,2020-08-26,1630,Lokomotiv Moscovo,FC Akhmat Grozny,1.78,3.05,3.5,1.88,1.55,1.75,1.65,1.20,None,1.80,2020-08-25,1157
RFPL,2020-08-26,1630,Rotor Volgograd,Spartak Moscovo,4.9,3.35,1.47,1.85,1.57,1.87,1.55,2.25,None,1.09,2020-08-25,1157
RFPL,2020-08-26,1630,Rubin Kazan,FC Ufa,1.83,2.8,3.6,2.4,1.31,2.1,1.42,1.19,None,1.72,2020-08-25,1157
RFPL,2020-08-26,1830,Rostov,Ural Sverdlovskaya Oblast,1.65,3.1,3.95,1.88,1.55,1.78,1.61,1.15,None,1.95,2020-08-25,1157
RFPL,2020-08-26,1830,Krasnodar,CSKA Moscovo,2.2,2.98,2.56,1.8,1.6,1.63,1.78,1.38,None,1.50,2020-08-25,1157
RFPL,2020-08-26,1845,Dinamo Moscovo,Zenit Sao Petersburgo,3.95,3.15,1.65,1.78,1.61,1.7,1.7,1.95,None,1.15,2020-08-25,1157
Ligue_1,2020-08-28,2000,Lyon,Dijon,1.31,4.75,9.5,1.55,2.05,1.87,1.67,1.03,None,3.20,2020-08-25,1152
Premiership,2020-08-29,1500,Livingston FC,Ross County,2.1,3.2,3.45,2.05,1.5,1.83,1.65,1.27,None,1.65,2020-08-25,1156
Premiership,2020-08-29,1500,FC St Johnstone,St Mirren,2.14,3.15,3.4,2.05,1.5,1.8,1.67,1.27,None,1.63,2020-08-25,1156
Premiership,2020-08-29,1500,Kilmarnock FC,Dundee United,2.17,3.3,3.15,1.95,1.57,1.75,1.72,1.31,None,1.61,2020-08-25,1156
Ligue_1,2020-08-29,1600,Rennes,Montpellier,2.04,3.05,3.85,2.05,1.55,1.8,1.75,1.22,None,1.70,2020-08-25,1152
Premiership,2020-08-29,1730,Hamilton Academical,Rangers,16.0,6.45,1.16,1.42,2.25,2.1,1.47,4.60,None,-,2020-08-25,1156
Ligue_1,2020-08-29,2000,RC Lens,PSG,9.5,6.0,1.24,1.35,2.58,1.72,1.83,3.65,None,1.03,2020-08-25,1152
Ligue_1,2020-08-30,1200,Stade Reims,Lille,2.98,2.96,2.45,2.25,1.45,1.9,1.65,1.47,None,1.35,2020-08-25,1152
Ligue_1,2020-08-30,1400,Saint-Etienne,FC Lorient,2.25,3.15,3.15,2.05,1.55,1.83,1.72,1.32,None,1.57,2020-08-25,1152
Ligue_1,2020-08-30,1400,Angers,Bordeus,2.17,2.96,3.55,2.2,1.47,1.88,1.67,1.25,None,1.61,2020-08-25,1152
Ligue_1,2020-08-30,1400,FC Metz,Monaco,3.55,3.3,2.02,1.85,1.7,1.67,1.87,1.70,None,1.25,2020-08-25,1152
Ligue_1,2020-08-30,1400,Nantes,Nimes,1.91,3.25,4.0,2.11,1.53,1.91,1.65,1.21,None,1.78,2020-08-25,1152
Premiership,2020-08-30,1500,Celtic,Motherwell FC,1.12,7.05,23.0,1.47,2.14,2.58,1.31,-,None,5.40,2020-08-25,1156
Ligue_1,2020-08-30,1600,Estrasburgo,Nice,2.19,3.3,3.1,1.88,1.67,1.7,1.85,1.31,None,1.61,2020-08-25,1152
Premiership,2020-08-30,1630,Hibernian FC,Aberdeen FC,2.25,3.3,3.0,1.91,1.6,1.72,1.75,1.33,None,1.57,2020-08-25,1156
Premier_League,2020-09-12,1500,Crystal Palace FC,Southampton,2.82,3.05,2.52,2.05,1.55,1.78,1.75,1.47,None,1.38,2020-08-25,1159
Championship,2020-09-12,1500,Barnsley FC,Luton Town,2.11,3.3,3.3,1.78,1.7,1.63,1.87,1.28,None,1.65,2020-08-25,1154
Championship,2020-09-12,1500,Cardiff,Sheffield Wednesday,2.15,3.15,3.35,1.91,1.6,1.72,1.75,1.28,None,1.63,2020-08-25,1154
Premier_League,2020-09-12,1500,West Ham,Newcastle,2.17,3.3,3.15,1.85,1.7,1.67,1.88,1.30,None,1.61,2020-08-25,1159
Championship,2020-09-12,1500,Bristol City,Coventry City,2.14,3.3,3.25,1.83,1.65,1.67,1.8,1.30,None,1.63,2020-08-25,1154
Championship,2020-09-12,1500,Bournemouth,Blackburn Rovers,2.0,3.3,3.6,1.85,1.65,1.67,1.8,1.25,None,1.72,2020-08-25,1154
Championship,2020-09-12,1500,Wycombe,Rotherham,2.72,3.15,2.54,1.72,1.75,1.57,1.95,1.45,None,1.40,2020-08-25,1154
Championship,2020-09-12,1500,Derby County,Reading,2.02,3.35,3.5,1.8,1.67,1.65,1.83,1.26,None,1.72,2020-08-25,1154
Championship,2020-09-12,1500,Queens Park Rangers,Nottingham Forest,2.72,3.1,2.58,1.95,1.57,1.7,1.78,1.44,None,1.40,2020-08-25,1154
Championship,2020-09-12,1500,Huddersfield,Norwich City,2.84,3.15,2.45,1.85,1.65,1.63,1.87,1.47,None,1.38,2020-08-25,1154
Championship,2020-09-12,1500,Watford,Middlesbrough,1.95,3.3,3.75,1.9,1.6,1.72,1.75,1.23,None,1.72,2020-08-25,1154
Championship,2020-09-12,1500,Birmingham,Brentford FC,3.95,3.4,1.88,1.8,1.67,1.67,1.8,1.83,None,1.21,2020-08-25,1154
Championship,2020-09-12,1500,Millwall FC,Stoke City,2.6,2.98,2.78,2.12,1.47,1.8,1.67,1.38,None,1.44,2020-08-25,1154
Championship,2020-09-12,1500,Preston,Swansea City,2.37,3.1,3.0,2.02,1.53,1.75,1.72,1.33,None,1.53,2020-08-25,1154
Premier_League,2020-09-12,1500,Tottenham,Everton,1.83,3.5,4.05,1.8,1.75,1.7,1.85,1.20,None,1.87,2020-08-25,1159
Premier_League,2020-09-12,1500,West Brom,Leicester,3.75,3.45,1.91,1.72,1.83,1.63,1.95,1.78,None,1.23,2020-08-25,1159
Premier_League,2020-09-12,1500,Liverpool,Leeds United,1.27,5.7,8.5,1.42,2.35,1.8,1.75,1.04,None,3.45,2020-08-25,1159
Premier_League,2020-09-12,1500,Fulham,Arsenal,4.8,3.75,1.65,1.63,1.95,1.63,1.95,2.10,None,1.15,2020-08-25,1159
Premier_League,2020-09-14,2000,Sheffield United,Wolverhampton,3.35,2.94,2.25,2.2,1.47,1.88,1.67,1.55,None,1.28,2020-08-25,1159
Premier_League,2020-09-14,2000,Brighton,Chelsea,4.5,3.7,1.7,1.67,1.87,1.65,1.91,2.04,None,1.16,2020-08-25,1159
Ligue_1,2020-09-16,2000,PSG,FC Metz,1.1,9.0,17.5,1.15,3.85,1.75,1.78,-,None,6.00,2020-08-25,1152
Bundesliga,2020-09-18,1930,Bayern Munique,FC Schalke 04,1.15,7.55,12.75,1.2,3.35,1.65,1.91,1.02,None,4.75,2020-08-25,1149
Bundesliga,2020-09-19,1430,1. FC Union Berlin,Augsburgo,2.18,3.3,3.15,1.85,1.7,1.67,1.87,1.31,None,1.61,2020-08-25,1149
Bundesliga,2020-09-19,1430,Colonia,Hoffenheim,2.4,3.55,2.6,1.5,2.16,1.42,2.35,1.44,None,1.50,2020-08-25,1149
Bundesliga,2020-09-19,1430,Eintracht Frankfurt,Arminia Bielefeld,1.67,4.05,4.25,1.5,2.19,1.5,2.14,1.18,None,2.05,2020-08-25,1149
Bundesliga,2020-09-19,1430,Werder Bremen,Hertha Berlin,2.6,3.4,2.5,1.65,1.91,1.5,2.13,1.47,None,1.44,2020-08-25,1149
Bundesliga,2020-09-19,1430,Estugarda,Friburgo,2.17,3.4,3.1,1.7,1.85,1.57,2.04,1.32,None,1.61,2020-08-25,1149
Premier_League,2020-09-19,1500,Wolverhampton,Manchester City,5.35,4.4,1.5,1.47,2.2,1.57,2.02,2.40,None,1.12,2020-08-25,1159
Premier_League,2020-09-19,1500,Southampton,Tottenham,3.7,3.35,1.95,1.75,1.78,1.63,1.95,1.75,None,1.24,2020-08-25,1159
Premier_League,2020-09-19,1500,Newcastle,Brighton,2.35,3.1,3.0,2.1,1.53,1.83,1.72,1.33,None,1.53,2020-08-25,1159
Premier_League,2020-09-19,1600,Leicester,Burnley,1.63,3.9,4.75,1.67,1.88,1.67,1.88,1.15,None,2.13,2020-08-25,1159
Premier_League,2020-09-19,1600,Arsenal,West Ham,1.53,3.7,6.55,1.63,1.95,1.63,1.95,1.06,None,2.25,2020-08-25,1159
Premier_League,2020-09-19,1600,Everton,West Brom,1.57,3.45,6.45,1.63,1.95,1.61,1.95,1.06,None,2.16,2020-08-25,1159
Premier_League,2020-09-19,1600,Manchester United,Crystal Palace FC,1.33,5.05,7.7,1.42,2.33,1.67,1.88,1.05,None,3.05,2020-08-25,1159
Premier_League,2020-09-19,1600,Chelsea,Liverpool,3.15,3.45,2.11,1.67,1.88,1.55,2.05,1.65,None,1.31,2020-08-25,1159
Premier_League,2020-09-19,1600,Leeds United,Fulham,2.04,3.1,3.75,2.05,1.55,1.83,1.72,1.23,None,1.70,2020-08-25,1159
Premier_League,2020-09-19,1600,Aston Villa,Sheffield United,2.58,3.15,2.68,2.05,1.55,1.8,1.75,1.42,None,1.44,2020-08-25,1159
Bundesliga,2020-09-19,1730,Borussia Dortmund,Borussia Monchengladbach,1.61,4.2,4.5,1.38,2.45,1.42,2.35,1.16,None,2.17,2020-08-25,1149
Bundesliga,2020-09-20,1430,RB Leipzig,Mainz 05,1.36,5.15,6.55,1.3,2.78,1.47,2.2,1.07,None,2.86,2020-08-25,1149
Bundesliga,2020-09-20,1700,Wolfsburgo,Bayer Leverkusen,2.8,3.45,2.3,1.63,1.95,1.5,2.14,1.53,None,1.38,2020-08-25,1149
Bundesliga,2020-09-25,1430,Hertha Berlin,Eintracht Frankfurt,2.16,3.4,3.1,1.53,2.11,1.44,2.3,1.32,None,1.63,2020-08-25,1149
Bundesliga,2020-09-26,1430,Bayer Leverkusen,RB Leipzig,2.72,3.5,2.35,1.47,2.2,1.38,2.45,1.53,None,1.40,2020-08-25,1149
Bundesliga,2020-09-26,1430,Arminia Bielefeld,Colonia,2.63,3.3,2.52,1.5,2.14,1.4,2.4,1.45,None,1.42,2020-08-25,1149
Bundesliga,2020-09-26,1430,Borussia Monchengladbach,1. FC Union Berlin,1.53,4.1,5.65,1.63,1.95,1.67,1.87,1.11,None,2.37,2020-08-25,1149
Bundesliga,2020-09-26,1430,Mainz 05,Estugarda,2.3,3.3,2.92,1.45,2.25,1.36,2.5,1.35,None,1.55,2020-08-25,1149
Bundesliga,2020-09-26,1430,Augsburgo,Borussia Dortmund,5.75,4.35,1.47,1.35,2.6,1.42,2.33,2.45,None,1.10,2020-08-25,1149
Bundesliga,2020-09-26,1730,FC Schalke 04,Werder Bremen,2.25,3.3,3.0,2.0,1.6,1.78,1.75,1.33,None,1.57,2020-08-25,1149
Bundesliga,2020-09-27,1430,Hoffenheim,Bayern Munique,6.95,4.75,1.38,1.22,3.25,1.33,2.62,2.84,None,1.06,2020-08-25,1149
Bundesliga,2020-09-27,1700,Friburgo,Wolfsburgo,2.82,3.35,2.35,1.75,1.78,1.63,1.95,1.53,None,1.38,2020-08-25,1149
