League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
RFPL,2020-09-27,1200,Arsenal Tula,Rostov,3.0,2.92,2.45,2.33,1.36,1.95,1.55,1.47,None,1.33,2020-09-27,1150
Ligue_1,2020-09-27,1200,Bordeus,Nice,2.0,3.25,3.65,1.85,1.65,1.67,1.8,1.23,None,1.72,2020-09-27,1143
Premiership,2020-09-27,1200,Motherwell FC,Rangers,9.0,5.2,1.28,1.53,2.02,1.9,1.61,3.25,None,1.03,2020-09-27,1148
Championship,2020-09-27,1300,Bristol City,Sheffield Wednesday,2.72,3.05,2.6,1.95,1.57,1.7,1.78,1.44,None,1.4,2020-09-27,1145
La_Liga,2020-09-27,1300,Eibar,Athletic Bilbao,3.05,2.78,2.54,2.54,1.36,2.05,1.55,1.45,None,1.33,2020-09-27,1152
Eredivisie,2020-09-27,1330,FC Utrecht,RKC Waalwijk,1.18,5.05,7.6,1.3,2.65,1.61,1.88,1.03,None,3.8,2020-09-27,1139
Premier_League,2020-09-27,1400,Tottenham,Newcastle,1.42,4.65,6.8,1.55,2.05,1.75,1.8,1.07,None,2.7,2020-09-27,1159
Ligue_1,2020-09-27,1400,Dijon,Montpellier,4.3,3.6,1.75,1.75,1.72,1.67,1.8,1.95,None,1.19,2020-09-27,1143
Ligue_1,2020-09-27,1400,Monaco,Estrasburgo,1.7,3.65,4.6,1.65,1.83,1.61,1.88,1.16,None,2.04,2020-09-27,1143
Serie_A,2020-09-27,1400,Hellas Verona,Udinese,2.68,2.92,2.74,2.16,1.5,1.83,1.72,1.40,None,1.42,2020-09-27,1156
Ligue_1,2020-09-27,1400,Angers,Stade Brestois 29,2.14,3.15,3.4,1.90,1.61,1.67,1.8,1.27,None,1.63,2020-09-27,1143
Ligue_1,2020-09-27,1400,Nimes,RC Lens,3.15,3.15,2.25,1.83,1.65,1.65,1.85,1.57,None,1.31,2020-09-27,1143
RFPL,2020-09-27,1430,FC Akhmat Grozny,Ural Sverdlovskaya Oblast,1.87,3.3,4.15,1.85,1.61,1.72,1.72,1.19,None,1.83,2020-09-27,1150
Bundesliga,2020-09-27,1430,Hoffenheim,Bayern Munique,8.0,6.7,1.24,1.13,4.05,1.36,2.52,3.65,None,1.04,2020-09-27,1141
Premiership,2020-09-27,1500,Ross County,Aberdeen FC,4.15,3.25,1.88,2.17,1.45,1.95,1.57,1.83,None,1.19,2020-09-27,1148
La_Liga,2020-09-27,1500,Atletico de Madrid,Granada CF,1.44,4.05,7.3,2.05,1.55,2.3,1.44,1.06,None,2.6,2020-09-27,1152
Premiership,2020-09-27,1500,Celtic,Hibernian FC,1.31,5.2,8.0,1.44,2.2,1.72,1.75,1.04,None,3.15,2020-09-27,1148
Primeira_Liga,2020-09-27,1530,SC Farense,CD Nacional Madeira,2.25,3.1,3.2,2.02,1.53,1.75,1.72,1.30,None,1.57,2020-09-27,1154
Eredivisie,2020-09-27,1545,Heracles Almelo,PSV Eindhoven,4.45,4.2,1.63,1.45,2.17,1.5,2.05,2.16,None,1.17,2020-09-27,1139
Eredivisie,2020-09-27,1545,FC Emmen,Willem II Tilburg,2.74,3.4,2.37,1.55,2.0,1.45,2.17,1.53,None,1.4,2020-09-27,1139
Primeira_Liga,2020-09-27,1600,Gil Vicente FC,Portimonense,2.74,2.96,2.65,2.14,1.47,1.8,1.67,1.42,None,1.4,2020-09-27,1154
Ligue_1,2020-09-27,1600,FC Lorient,Lyon,4.15,3.65,1.78,1.65,1.85,1.6,1.91,1.91,None,1.19,2020-09-27,1143
Championship,2020-09-27,1600,Bournemouth,Norwich City,2.35,3.3,2.86,1.72,1.75,1.57,1.95,1.36,None,1.53,2020-09-27,1145
Premier_League,2020-09-27,1630,Manchester City,Leicester,1.35,5.4,7.05,1.36,2.54,1.6,2.0,1.07,None,3.0,2020-09-27,1159
Serie_A,2020-09-27,1700,FC Crotone,AC Milao,4.75,4.05,1.61,1.57,2.02,1.61,1.95,2.19,None,1.15,2020-09-27,1156
