League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
La_Liga,2020-09-29,2030,Getafe,Betis,2.52,2.92,3.1,2.4,1.44,1.95,1.63,1.33,None,1.47,None,2020-09-29,1837
Serie_A,2020-09-30,1700,Benevento Calcio,Inter de Milao,7.0,4.9,1.36,1.44,2.3,1.65,1.91,2.86,None,1.06,None,2020-09-29,1843
Serie_A,2020-09-30,1700,Udinese,Spezia,1.61,3.7,5.25,1.83,1.72,1.83,1.72,1.12,None,2.17,None,2020-09-29,1843
La_Liga,2020-09-30,1800,Villarreal,Alaves,1.61,3.8,5.15,1.88,1.67,1.88,1.67,1.13,None,2.18,None,2020-09-29,1837
La_Liga,2020-09-30,1800,Huesca,Atletico de Madrid,6.95,4.0,1.45,2.00,1.6,2.18,1.5,2.54,None,1.06,None,2020-09-29,1837
Serie_A,2020-09-30,1945,Lazio,Atalanta,2.5,3.6,2.5,1.44,2.3,1.38,2.45,1.47,None,1.47,None,2020-09-29,1843
La_Liga,2020-09-30,2030,Eibar,Elche CF,1.75,3.5,4.4,2.20,1.47,2.05,1.55,1.17,None,1.95,None,2020-09-29,1837
La_Liga,2020-09-30,2030,Real Madrid,Real Valladolid,1.26,5.75,9.0,1.50,2.15,1.95,1.63,1.03,None,3.5,None,2020-09-29,1837
La_Liga,2020-10-01,1800,Sevilha,Levante,1.44,4.25,6.65,1.55,2.05,1.67,1.88,1.07,None,2.6,None,2020-09-29,1837
La_Liga,2020-10-01,1800,Athletic Bilbao,Cadiz CF,1.57,3.65,5.85,2.35,1.42,2.35,1.42,1.10,None,2.2,None,2020-09-29,1837
La_Liga,2020-10-01,2030,Celta de Vigo,Barcelona,5.35,4.3,1.5,1.50,2.13,1.61,1.95,2.37,None,1.12,None,2020-09-29,1837
Eredivisie,2020-10-02,1900,FC Utrecht,SC Heerenveen,1.8,3.95,3.7,1.4,2.3,1.4,2.3,1.23,None,1.91,None,2020-09-29,1825
Primeira_Liga,2020-10-02,1900,Moreirense FC,Boavista FC,2.3,2.86,3.4,2.33,1.38,1.95,1.57,1.28,None,1.55,None,2020-09-29,1840
Bundesliga,2020-10-02,1930,1. FC Union Berlin,Mainz 05,2.25,3.3,3.0,1.72,1.83,1.57,2.02,1.33,None,1.57,None,2020-09-29,1827
Serie_A,2020-10-02,1945,Fiorentina,Sampdoria,1.72,3.75,4.33,1.63,1.95,1.61,1.95,1.18,None,2.0,None,2020-09-29,1843
Championship,2020-10-02,1945,Coventry City,Bournemouth,3.55,3.1,2.11,1.88,1.61,1.67,1.8,1.65,None,1.25,None,2020-09-29,1831
Premiership,2020-10-02,1945,Aberdeen FC,St Mirren,1.5,4.25,5.6,1.78,1.7,1.9,1.61,1.11,None,2.4,None,2020-09-29,1835
Premiership,2020-10-02,1945,Hibernian FC,Hamilton Academical,1.38,4.9,6.5,1.57,1.95,1.8,1.67,1.08,None,2.78,None,2020-09-29,1835
Premiership,2020-10-02,1945,Kilmarnock FC,Motherwell FC,2.4,3.2,2.82,1.90,1.61,1.67,1.8,1.38,None,1.5,None,2020-09-29,1835
Premiership,2020-10-02,1945,Dundee United,Livingston FC,2.4,3.25,2.82,2.04,1.53,1.8,1.67,1.38,None,1.5,None,2020-09-29,1835
Ligue_1,2020-10-02,2000,PSG,Angers,1.12,7.8,17.0,1.28,2.7,2.0,1.55,-,None,5.35,None,2020-09-29,1830
Primeira_Liga,2020-10-02,2115,Vitoria Guimaraes,FC Pacos Ferreira,1.72,3.4,4.95,2.04,1.53,1.95,1.57,1.14,None,2.02,None,2020-09-29,1840
La_Liga,2020-10-03,1200,Real Valladolid,Eibar,2.4,2.98,3.05,2.25,1.45,1.91,1.65,1.33,None,1.5,None,2020-09-29,1837
RFPL,2020-10-03,1200,FC Ufa,Rotor Volgograd,1.9,3.2,4.15,2.25,1.4,2.02,1.5,1.19,None,1.8,None,2020-09-29,1836
Premier_League,2020-10-03,1230,Chelsea,Crystal Palace FC,1.42,4.6,6.4,1.53,2.12,1.7,1.85,1.08,None,2.67,None,2020-09-29,1845
Championship,2020-10-03,1230,Norwich City,Derby County,1.63,3.85,4.8,1.60,1.91,1.6,1.9,1.15,None,2.13,None,2020-09-29,1831
