League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
Eredivisie,2020-09-25,1900,FC Twente Enschede,FC Groningen,2.2,3.3,3.1,1.95,1.57,1.75,1.72,1.32,None,1.57,2020-09-25,1137
Bundesliga,2020-09-25,1930,Hertha Berlin,Eintracht Frankfurt,2.2,3.6,2.86,1.45,2.25,1.38,2.45,1.36,None,1.57,2020-09-25,1140
Championship,2020-09-25,1945,Huddersfield,Nottingham Forest,3.0,3.0,2.4,2.10,1.47,1.8,1.67,1.50,None,1.33,2020-09-25,1145
Ligue_1,2020-09-25,2000,Lille,Nantes,1.65,3.55,5.25,2.04,1.53,2.0,1.55,1.12,None,2.1,2020-09-25,1142
Primeira_Liga,2020-09-25,2030,SC Braga,CD Santa Clara,1.45,4.1,6.8,1.67,1.8,1.8,1.67,1.07,None,2.56,2020-09-25,1155
La_Liga,2020-09-26,1200,Alaves,Getafe,3.4,2.7,2.4,2.7,1.32,2.15,1.5,1.50,None,1.27,2020-09-25,1152
Championship,2020-09-26,1230,Watford,Luton Town,1.7,3.5,4.9,1.85,1.65,1.78,1.7,1.14,None,2.02,2020-09-25,1145
Championship,2020-09-26,1230,Wycombe,Swansea City,4.45,3.4,1.78,2.00,1.55,1.87,1.63,1.91,None,1.17,2020-09-25,1145
Premier_League,2020-09-26,1230,Brighton,Manchester United,4.6,3.55,1.72,1.72,1.83,1.67,1.88,2.00,None,1.16,2020-09-25,1202
Serie_A,2020-09-26,1400,Torino,Atalanta,4.5,4.05,1.63,1.50,2.19,1.5,2.13,2.13,None,1.17,2020-09-25,1158
Bundesliga,2020-09-26,1430,Bayer Leverkusen,RB Leipzig,2.96,3.5,2.19,1.47,2.2,1.4,2.4,1.60,None,1.35,2020-09-25,1140
Bundesliga,2020-09-26,1430,Augsburgo,Borussia Dortmund,6.7,4.55,1.4,1.45,2.25,1.6,2.0,2.70,None,1.07,2020-09-25,1140
