League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Eredivisie,2020-10-25,1545,RKC Waalwijk,Feyenoord,6.7,5.05,1.36,1.33,2.5,1.53,2.02,2.86,None,1.07,None,2020-10-25,1518
RFPL,2020-10-25,1600,FC Akhmat Grozny,FC Ufa,1.72,3.4,4.9,2.25,1.4,2.11,1.45,1.14,None,2.0,None,2020-10-25,1526
Ligue_1,2020-10-25,1600,Nice,Lille,3.65,3.4,1.95,1.78,1.7,1.65,1.83,1.75,None,1.24,None,2020-10-25,1521
Premier_League,2020-10-25,1630,Wolverhampton,Newcastle,1.87,3.3,4.85,2.19,1.53,1.95,1.63,1.16,None,1.88,None,2020-10-25,1532
Bundesliga,2020-10-25,1700,Werder Bremen,Hoffenheim,2.78,3.6,2.25,1.42,2.33,1.36,2.52,1.55,None,1.38,None,2020-10-25,1520
Serie_A,2020-10-25,1700,Fiorentina,Udinese,1.87,3.45,3.9,1.67,1.87,1.6,2.0,1.21,None,1.83,None,2020-10-25,1530
Primeira_Liga,2020-10-25,1730,Famalicao,Boavista FC,2.45,3.05,2.9,1.80,1.67,1.6,1.9,1.36,None,1.47,None,2020-10-25,1528
La_Liga,2020-10-25,1730,Getafe,Granada CF,1.95,2.9,4.4,2.68,1.32,2.25,1.45,1.17,None,1.72,None,2020-10-25,1526
Eredivisie,2020-10-25,1900,Den Haag,AZ Alkmaar,4.75,4.6,1.53,1.44,2.2,1.53,2.02,2.33,None,1.15,None,2020-10-25,1518
Premier_League,2020-10-25,1915,Arsenal,Leicester,1.88,3.55,3.75,1.63,1.95,1.55,2.05,1.23,None,1.83,None,2020-10-25,1532
Serie_A,2020-10-25,1945,Juventus,Hellas Verona,1.4,5.0,7.45,1.55,2.05,1.8,1.75,1.07,None,2.8,None,2020-10-25,1530
La_Liga,2020-10-25,2000,Real Sociedad,Huesca,1.78,3.25,4.7,2.04,1.57,1.9,1.65,1.15,None,1.91,None,2020-10-25,1526
Primeira_Liga,2020-10-25,2000,Vitoria Guimaraes,SC Braga,3.75,3.5,2.16,1.87,1.75,1.63,1.87,1.67,None,1.26,None,2020-10-25,1528
Ligue_1,2020-10-25,2000,Lyon,Monaco,1.78,3.7,4.05,1.50,2.05,1.47,2.11,1.20,None,1.91,None,2020-10-25,1521
RFPL,2020-10-26,1600,CSKA Moscovo,Arsenal Tula,1.53,4.05,5.5,1.80,1.65,1.87,1.6,1.11,None,2.33,None,2020-10-25,1526
Premier_League,2020-10-26,1730,Brighton,West Brom,1.7,3.85,4.3,1.65,1.91,1.65,1.91,1.18,None,2.04,None,2020-10-25,1532
Bundesliga,2020-10-26,1930,Bayer Leverkusen,Augsburgo,1.55,4.15,5.25,1.47,2.2,1.53,2.11,1.12,None,2.3,None,2020-10-25,1520
Serie_A,2020-10-26,1945,AC Milao,AS Roma,2.04,3.5,3.3,1.55,2.05,1.47,2.2,1.28,None,1.7,None,2020-10-25,1530
Premier_League,2020-10-26,2000,Burnley,Tottenham,5.0,4.0,1.6,1.67,1.88,1.72,1.83,2.20,None,1.14,None,2020-10-25,1532
La_Liga,2020-10-26,2000,Levante,Celta de Vigo,2.4,3.2,2.84,1.91,1.65,1.67,1.87,1.38,None,1.5,None,2020-10-25,1526
Primeira_Liga,2020-10-26,2015,SL Benfica,Belenenses SAD,1.1,8.5,20.0,1.36,2.4,2.25,1.42,-,None,5.8,None,2020-10-25,1528
Championship,2020-10-27,1900,Barnsley FC,Queens Park Rangers,2.37,3.1,3.0,1.95,1.57,1.7,1.78,1.33,None,1.53,None,2020-10-25,1524
Championship,2020-10-27,1945,Swansea City,Stoke City,2.33,3.15,3.0,2.00,1.53,1.75,1.72,1.33,None,1.53,None,2020-10-25,1524
Championship,2020-10-27,1945,Blackburn Rovers,Reading,2.0,3.25,3.65,1.83,1.65,1.67,1.8,1.24,None,1.72,None,2020-10-25,1524
Championship,2020-10-27,1945,Wycombe,Watford,7.3,3.75,1.47,1.87,1.63,1.95,1.57,2.45,None,1.06,None,2020-10-25,1524
Championship,2020-10-27,1945,Brentford FC,Norwich City,2.12,3.25,3.35,1.87,1.63,1.67,1.8,1.28,None,1.63,None,2020-10-25,1524
Championship,2020-10-27,1945,Middlesbrough,Coventry City,2.0,3.0,4.1,2.00,1.55,1.75,1.72,1.20,None,1.72,None,2020-10-25,1524
Championship,2020-10-28,1900,Preston,Millwall FC,2.2,3.1,3.3,2.12,1.47,1.83,1.65,1.28,None,1.57,None,2020-10-25,1524
Championship,2020-10-28,1945,Birmingham,Huddersfield,2.33,2.96,3.2,2.20,1.44,1.87,1.63,1.30,None,1.53,None,2020-10-25,1524
Championship,2020-10-28,1945,Derby County,Cardiff,2.86,3.0,2.52,2.11,1.47,1.8,1.67,1.47,None,1.36,None,2020-10-25,1524
Championship,2020-10-28,1945,Luton Town,Nottingham Forest,3.05,3.0,2.4,1.95,1.57,1.72,1.75,1.50,None,1.33,None,2020-10-25,1524
Championship,2020-10-28,1945,Rotherham,Sheffield Wednesday,3.05,3.1,2.33,1.95,1.57,1.72,1.75,1.53,None,1.33,None,2020-10-25,1524
Championship,2020-10-28,1945,Bournemouth,Bristol City,1.85,3.55,3.9,1.78,1.7,1.67,1.8,1.21,None,1.85,None,2020-10-25,1524
Primeira_Liga,2020-10-28,2145,Sporting CP,Gil Vicente FC,1.44,4.2,7.0,1.75,1.72,1.91,1.6,1.06,None,2.62,None,2020-10-25,1528
Bundesliga,2020-10-30,1930,FC Schalke 04,Estugarda,3.1,3.4,2.16,1.65,1.9,1.55,2.05,1.61,None,1.32,None,2020-10-25,1520
Premier_League,2020-10-30,2000,Wolverhampton,Crystal Palace FC,1.83,3.3,4.35,2.10,1.53,1.91,1.65,1.18,None,1.87,None,2020-10-25,1532
Ligue_1,2020-10-30,2000,Marselha,RC Lens,1.8,3.55,4.05,1.87,1.63,1.75,1.72,1.20,None,1.88,None,2020-10-25,1521
La_Liga,2020-10-30,2000,Eibar,Cadiz CF,2.2,2.9,3.55,2.56,1.35,2.13,1.5,1.25,None,1.6,None,2020-10-25,1526
Primeira_Liga,2020-10-30,2030,FC Pacos Ferreira,FC Porto,11.5,5.55,1.23,1.57,1.95,2.05,1.5,3.70,None,1.02,None,2020-10-25,1528
Premier_League,2020-10-31,1230,Sheffield United,Manchester City,8.0,5.35,1.3,1.4,2.4,1.67,1.88,3.25,None,1.04,None,2020-10-25,1532
La_Liga,2020-10-31,1300,Real Madrid,Huesca,1.32,5.3,7.5,1.60,2.0,1.91,1.65,1.05,None,3.1,None,2020-10-25,1526
