League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
RFPL,2020-09-28,1700,FK Khimki,Dinamo Moscovo,4.25,3.45,1.8,1.95,1.55,1.83,1.63,1.90,None,1.18,None,2020-09-28,1404
Premier_League,2020-09-28,1745,Fulham,Aston Villa,2.98,3.3,2.4,1.91,1.7,1.67,1.88,1.50,None,1.36,None,2020-09-28,1414
Serie_A,2020-09-28,1945,Bolonha,Parma,1.87,3.55,3.8,1.67,1.88,1.6,2.0,1.22,None,1.83,None,2020-09-28,1410
Primeira_Liga,2020-09-28,1945,Belenenses SAD,Famalicao,2.54,3.15,3.0,2.1,1.61,1.72,1.75,1.36,None,1.47,None,2020-09-28,1409
Premier_League,2020-09-28,2000,Liverpool,Arsenal,1.55,4.7,5.1,1.4,2.52,1.47,2.2,1.14,None,2.33,None,2020-09-28,1414
La_Liga,2020-09-29,1800,Real Sociedad,Valencia,1.65,3.9,4.65,1.85,1.7,1.85,1.7,1.16,None,2.12,None,2020-09-28,1405
La_Liga,2020-09-29,2030,Getafe,Betis,2.3,3.0,3.25,2.2,1.47,1.91,1.65,1.30,None,1.55,None,2020-09-28,1405
Serie_A,2020-09-30,1700,Udinese,Spezia,1.67,3.6,5.0,1.87,1.67,1.83,1.72,1.13,None,2.1,None,2020-09-28,1410
Serie_A,2020-09-30,1700,Benevento Calcio,Inter de Milao,6.85,4.9,1.38,1.45,2.25,1.65,1.91,2.86,None,1.07,None,2020-09-28,1410
La_Liga,2020-09-30,1800,Villarreal,Alaves,1.61,3.75,5.25,1.88,1.67,1.88,1.67,1.12,None,2.19,None,2020-09-28,1405
La_Liga,2020-09-30,1800,Huesca,Atletico de Madrid,7.15,3.75,1.47,2.05,1.55,2.17,1.5,2.45,None,1.06,None,2020-09-28,1405
Serie_A,2020-09-30,1945,Lazio,Atalanta,2.5,3.55,2.52,1.45,2.25,1.38,2.45,1.45,None,1.47,None,2020-09-28,1410
La_Liga,2020-09-30,2030,Real Madrid,Real Valladolid,1.27,5.6,9.0,1.5,2.15,1.91,1.65,1.03,None,3.45,None,2020-09-28,1405
La_Liga,2020-09-30,2030,Eibar,Elche CF,1.75,3.55,4.45,2.2,1.47,2.1,1.53,1.17,None,1.95,None,2020-09-28,1405
La_Liga,2020-10-01,1800,Athletic Bilbao,Cadiz CF,1.7,3.45,4.9,2.33,1.42,2.2,1.47,1.14,None,2.02,None,2020-09-28,1405
La_Liga,2020-10-01,1800,Sevilha,Levante,1.5,4.2,5.9,1.63,1.95,1.72,1.83,1.09,None,2.45,None,2020-09-28,1405
La_Liga,2020-10-01,2030,Celta de Vigo,Barcelona,5.1,4.33,1.53,1.5,2.14,1.61,1.95,2.35,None,1.13,None,2020-09-28,1405
Primeira_Liga,2020-10-02,1900,Moreirense FC,Boavista FC,2.45,3.2,2.78,2.3,1.4,1.95,1.57,1.38,None,1.47,None,2020-09-28,1409
Eredivisie,2020-10-02,1900,FC Utrecht,SC Heerenveen,1.83,3.8,3.7,1.38,2.35,1.36,2.4,1.23,None,1.88,None,2020-09-28,1353
Bundesliga,2020-10-02,1930,1. FC Union Berlin,Mainz 05,2.25,3.3,3.0,1.75,1.8,1.57,2.02,1.33,None,1.57,None,2020-09-28,1355
Championship,2020-10-02,1945,Coventry City,Bournemouth,3.6,3.0,2.14,1.9,1.61,1.67,1.8,1.63,None,1.25,None,2020-09-28,1359
Premiership,2020-10-02,1945,Kilmarnock FC,Motherwell FC,2.45,3.25,2.74,1.91,1.6,1.7,1.78,1.40,None,1.47,None,2020-09-28,1403
