League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Primeira_Liga,2020-10-28,2145,Sporting CP,Gil Vicente FC,1.53,4.2,6.55,1.83,1.8,1.85,1.65,1.09,None,2.4,None,2020-10-28,2045
Bundesliga,2020-10-30,1930,FC Schalke 04,Estugarda,3.1,3.4,2.17,1.65,1.91,1.53,2.11,1.61,None,1.32,None,2020-10-28,2032
Championship,2020-10-30,1945,Coventry City,Reading,3.0,3.0,2.3,2.05,1.57,1.72,1.75,1.53,None,1.33,None,2020-10-28,2037
Premier_League,2020-10-30,2000,Wolverhampton,Crystal Palace FC,1.95,3.1,4.15,2.25,1.45,1.95,1.61,1.19,None,1.78,None,2020-10-28,2049
La_Liga,2020-10-30,2000,Eibar,Cadiz CF,2.37,2.82,3.3,2.62,1.33,2.12,1.53,1.28,None,1.5,None,2020-10-28,2043
Primeira_Liga,2020-10-30,2030,FC Pacos Ferreira,FC Porto,6.55,3.7,1.53,1.90,1.6,1.95,1.57,2.35,None,1.07,None,2020-10-28,2045
RFPL,2020-10-31,1100,Rubin Kazan,Arsenal Tula,1.75,3.45,4.55,1.88,1.6,1.78,1.67,1.16,None,1.95,None,2020-10-28,2041
Premier_League,2020-10-31,1230,Sheffield United,Manchester City,7.7,5.35,1.31,1.42,2.37,1.72,1.83,3.15,None,1.05,None,2020-10-28,2049
Championship,2020-10-31,1230,Bristol City,Norwich City,3.1,3.3,2.2,1.78,1.7,1.61,1.88,1.57,None,1.32,None,2020-10-28,2037
La_Liga,2020-10-31,1300,Real Madrid,Huesca,1.35,5.05,7.3,1.57,2.02,1.88,1.67,1.06,None,2.98,None,2020-10-28,2043
RFPL,2020-10-31,1330,Spartak Moscovo,Rostov,1.72,3.35,5.0,1.91,1.57,1.8,1.65,1.14,None,2.0,None,2020-10-28,2041
RFPL,2020-10-31,1330,FC Akhmat Grozny,Krasnodar,2.45,3.4,2.64,1.70,1.75,1.57,1.91,1.42,None,1.47,None,2020-10-28,2041
Serie_A,2020-10-31,1400,FC Crotone,Atalanta,6.0,4.8,1.42,1.32,2.67,1.45,2.25,2.64,None,1.1,None,2020-10-28,2047
Bundesliga,2020-10-31,1430,Arminia Bielefeld,Borussia Dortmund,6.95,4.5,1.4,1.50,2.17,1.65,1.91,2.72,None,1.06,None,2020-10-28,2032
