League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Premiership,2020-10-20,1900,Aberdeen FC,Hamilton Academical,1.38,4.7,6.95,1.83,1.65,2.12,1.47,1.06,None,2.8,None,2020-10-19,2210
Championship,2020-10-20,1945,Huddersfield,Derby County,2.35,2.96,3.15,2.00,1.55,1.72,1.75,1.31,None,1.53,None,2020-10-19,2207
Championship,2020-10-20,1945,Nottingham Forest,Rotherham,1.83,3.5,4.05,1.95,1.57,1.8,1.67,1.20,None,1.87,None,2020-10-19,2207
Championship,2020-10-20,1945,Coventry City,Swansea City,3.1,3.2,2.25,1.90,1.6,1.7,1.78,1.57,None,1.32,None,2020-10-19,2207
Championship,2020-10-20,1945,Bristol City,Middlesbrough,2.3,3.1,3.1,1.95,1.57,1.72,1.75,1.32,None,1.53,None,2020-10-19,2207
Championship,2020-10-20,1945,Norwich City,Birmingham,1.78,3.45,4.33,1.80,1.67,1.72,1.75,1.18,None,1.91,None,2020-10-19,2207
Championship,2020-10-20,1945,Millwall FC,Luton Town,2.0,3.2,3.75,2.02,1.53,1.8,1.67,1.23,None,1.72,None,2020-10-19,2207
Championship,2020-10-20,2000,Reading,Wycombe,1.53,4.05,5.55,1.78,1.7,1.87,1.63,1.11,None,2.35,None,2020-10-19,2207
Eredivisie,2020-10-21,1630,RKC Waalwijk,PEC Zwolle,3.2,3.2,2.2,1.75,1.72,1.6,1.91,1.60,None,1.3,None,2020-10-19,2201
Championship,2020-10-21,1945,Queens Park Rangers,Preston,2.45,3.15,2.84,1.90,1.61,1.65,1.83,1.38,None,1.47,None,2020-10-19,2207
Championship,2020-10-21,1945,Stoke City,Barnsley FC,2.0,3.25,3.65,1.95,1.57,1.75,1.72,1.24,None,1.72,None,2020-10-19,2207
Championship,2020-10-21,1945,Cardiff,Bournemouth,2.96,3.1,2.37,1.90,1.61,1.67,1.8,1.50,None,1.35,None,2020-10-19,2207
Championship,2020-10-21,1945,Watford,Blackburn Rovers,2.05,3.25,3.5,1.90,1.6,1.72,1.75,1.25,None,1.67,None,2020-10-19,2207
Championship,2020-10-21,1945,Sheffield Wednesday,Brentford FC,3.25,3.3,2.14,1.83,1.65,1.65,1.83,1.63,None,1.28,None,2020-10-19,2207
Bundesliga,2020-10-23,1930,Estugarda,Colonia,2.04,3.6,3.2,1.53,2.12,1.45,2.25,1.30,None,1.7,None,2020-10-19,2203
Championship,2020-10-23,1945,Nottingham Forest,Derby County,1.95,3.35,3.75,2.02,1.53,1.83,1.65,1.23,None,1.75,None,2020-10-19,2207
Serie_A,2020-10-23,1945,Sassuolo,Torino,1.6,4.2,4.6,1.42,2.35,1.47,2.2,1.16,None,2.2,None,2020-10-19,2216
Ligue_1,2020-10-23,2000,Rennes,Angers,1.75,3.4,4.6,1.87,1.63,1.75,1.72,1.16,None,1.95,None,2020-10-19,2206
Premier_League,2020-10-23,2000,Aston Villa,Leeds United,2.25,3.45,2.9,1.63,1.95,1.5,2.15,1.36,None,1.55,None,2020-10-19,2217
La_Liga,2020-10-23,2000,Elche CF,Valencia,3.2,3.15,2.2,2.05,1.55,1.8,1.75,1.57,None,1.3,None,2020-10-19,2212
RFPL,2020-10-24,1200,Dinamo Moscovo,PFC Sochi,1.95,3.3,3.7,1.95,1.55,1.78,1.67,1.23,None,1.72,None,2020-10-19,2211
La_Liga,2020-10-24,1200,CA Osasuna,Athletic Bilbao,2.94,2.8,2.62,2.52,1.36,2.04,1.57,1.42,None,1.35,None,2020-10-19,2212
Championship,2020-10-24,1230,Watford,Bournemouth,2.2,3.15,3.25,2.02,1.53,1.78,1.7,1.30,None,1.6,None,2020-10-19,2207
Premier_League,2020-10-24,1230,West Ham,Manchester City,6.6,5.0,1.38,1.35,2.56,1.53,2.1,2.84,None,1.07,None,2020-10-19,2217
Serie_A,2020-10-24,1400,Atalanta,Sampdoria,1.38,4.95,6.55,1.28,2.86,1.42,2.35,1.07,None,2.82,None,2020-10-19,2216
RFPL,2020-10-24,1430,Zenit Sao Petersburgo,Rubin Kazan,1.4,4.65,6.6,1.55,1.95,1.75,1.7,1.07,None,2.72,None,2020-10-19,2211
Bundesliga,2020-10-24,1430,Mainz 05,Borussia Monchengladbach,4.65,3.85,1.65,1.50,2.18,1.5,2.16,2.12,None,1.15,None,2020-10-19,2203
Bundesliga,2020-10-24,1430,1. FC Union Berlin,Friburgo,2.2,3.35,3.05,1.70,1.85,1.55,2.05,1.33,None,1.6,None,2020-10-19,2203
Bundesliga,2020-10-24,1430,RB Leipzig,Hertha Berlin,1.42,4.65,6.25,1.35,2.56,1.47,2.2,1.08,None,2.64,None,2020-10-19,2203
Bundesliga,2020-10-24,1430,Bayern Munique,Eintracht Frankfurt,1.19,6.75,11.0,1.18,3.55,1.47,2.2,1.02,None,4.15,None,2020-10-19,2203
Championship,2020-10-24,1500,Cardiff,Middlesbrough,2.25,3.05,3.2,2.05,1.5,1.78,1.7,1.30,None,1.55,None,2020-10-19,2207
Championship,2020-10-24,1500,Reading,Rotherham,1.95,3.4,3.65,1.91,1.6,1.75,1.72,1.24,None,1.75,None,2020-10-19,2207
Championship,2020-10-24,1500,Millwall FC,Barnsley FC,2.15,3.15,3.35,1.90,1.6,1.7,1.78,1.27,None,1.63,None,2020-10-19,2207
Championship,2020-10-24,1500,Coventry City,Blackburn Rovers,3.1,3.2,2.25,1.75,1.72,1.57,1.95,1.57,None,1.32,None,2020-10-19,2207
Championship,2020-10-24,1500,Bristol City,Swansea City,2.52,3.25,2.68,1.87,1.63,1.65,1.83,1.42,None,1.45,None,2020-10-19,2207
La_Liga,2020-10-24,1500,Barcelona,Real Madrid,2.14,3.45,3.1,1.63,1.95,1.5,2.14,1.32,None,1.63,None,2020-10-19,2212
Championship,2020-10-24,1500,Sheffield Wednesday,Luton Town,1.85,3.5,3.95,1.87,1.63,1.75,1.72,1.21,None,1.85,None,2020-10-19,2207
