League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Championship,2020-10-27,1900,Barnsley FC,Queens Park Rangers,2.45,3.15,2.82,1.95,1.57,1.72,1.75,1.38,None,1.47,None,2020-10-26,2256
Championship,2020-10-27,1945,Brentford FC,Norwich City,2.19,3.3,3.1,1.87,1.63,1.67,1.8,1.31,None,1.61,None,2020-10-26,2256
Championship,2020-10-27,1945,Middlesbrough,Coventry City,1.95,3.15,4.05,2.0,1.55,1.78,1.7,1.20,None,1.78,None,2020-10-26,2256
Championship,2020-10-27,1945,Wycombe,Watford,6.85,3.7,1.5,1.87,1.63,1.95,1.57,2.40,None,1.07,None,2020-10-26,2256
Championship,2020-10-27,1945,Blackburn Rovers,Reading,1.95,3.3,3.7,1.87,1.63,1.7,1.78,1.23,None,1.72,None,2020-10-26,2256
Championship,2020-10-27,1945,Swansea City,Stoke City,2.45,2.94,3.0,2.02,1.53,1.72,1.75,1.33,None,1.47,None,2020-10-26,2256
Championship,2020-10-28,1900,Preston,Millwall FC,2.3,3.0,3.25,2.17,1.45,1.87,1.63,1.30,None,1.55,None,2020-10-26,2256
Championship,2020-10-28,1945,Derby County,Cardiff,2.82,3.0,2.56,2.19,1.44,1.85,1.65,1.45,None,1.38,None,2020-10-26,2256
Championship,2020-10-28,1945,Luton Town,Nottingham Forest,3.05,3.05,2.37,2.0,1.53,1.72,1.75,1.50,None,1.33,None,2020-10-26,2256
Championship,2020-10-28,1945,Bournemouth,Bristol City,1.83,3.6,3.9,1.75,1.72,1.67,1.8,1.22,None,1.87,None,2020-10-26,2256
Championship,2020-10-28,1945,Birmingham,Huddersfield,2.4,2.98,3.05,2.25,1.42,1.9,1.61,1.32,None,1.5,None,2020-10-26,2256
Championship,2020-10-28,1945,Rotherham,Sheffield Wednesday,3.0,3.1,2.35,2.0,1.55,1.72,1.75,1.53,None,1.33,None,2020-10-26,2256
Primeira_Liga,2020-10-28,2145,Sporting CP,Gil Vicente FC,1.47,4.25,6.1,1.78,1.7,1.95,1.57,1.09,None,2.5,None,2020-10-26,2302
Bundesliga,2020-10-30,1930,FC Schalke 04,Estugarda,3.05,3.4,2.18,1.65,1.9,1.53,2.1,1.61,None,1.33,None,2020-10-26,2252
Championship,2020-10-30,1945,Coventry City,Reading,2.78,2.82,2.74,1.9,1.6,1.63,1.87,1.40,None,1.38,None,2020-10-26,2256
La_Liga,2020-10-30,2000,Eibar,Cadiz CF,2.25,2.84,3.5,2.58,1.35,2.12,1.53,1.26,None,1.55,None,2020-10-26,2301
Premier_League,2020-10-30,2000,Wolverhampton,Crystal Palace FC,1.91,3.1,4.25,2.18,1.5,1.95,1.63,1.19,None,1.78,None,2020-10-26,2305
Ligue_1,2020-10-30,2000,Marselha,RC Lens,1.78,3.55,4.25,1.9,1.61,1.8,1.67,1.18,None,1.91,None,2020-10-26,2255
Primeira_Liga,2020-10-30,2030,FC Pacos Ferreira,FC Porto,6.45,3.7,1.53,1.88,1.61,1.91,1.6,2.35,None,1.08,None,2020-10-26,2302
RFPL,2020-10-31,1100,Rubin Kazan,Arsenal Tula,1.78,3.4,4.5,1.88,1.6,1.78,1.67,1.16,None,1.91,None,2020-10-26,2300
Championship,2020-10-31,1230,Bristol City,Norwich City,3.0,3.3,2.25,1.75,1.72,1.6,1.9,1.57,None,1.33,None,2020-10-26,2256
Premier_League,2020-10-31,1230,Sheffield United,Manchester City,8.0,5.3,1.3,1.4,2.4,1.65,1.9,3.20,None,1.04,None,2020-10-26,2305
La_Liga,2020-10-31,1300,Real Madrid,Huesca,1.32,5.15,7.7,1.6,2.0,1.91,1.65,1.05,None,3.05,None,2020-10-26,2301
RFPL,2020-10-31,1330,Spartak Moscovo,Rostov,1.75,3.3,4.9,1.95,1.55,1.8,1.65,1.14,None,1.95,None,2020-10-26,2300
RFPL,2020-10-31,1330,FC Akhmat Grozny,Krasnodar,2.56,3.45,2.5,1.63,1.83,1.53,2.0,1.47,None,1.45,None,2020-10-26,2300
Serie_A,2020-10-31,1400,FC Crotone,Atalanta,6.0,4.9,1.42,1.32,2.7,1.45,2.25,2.70,None,1.09,None,2020-10-26,2304
Bundesliga,2020-10-31,1430,Colonia,Bayern Munique,11.5,7.3,1.17,1.18,3.55,1.6,2.0,4.45,None,1.02,None,2020-10-26,2252
Bundesliga,2020-10-31,1430,Arminia Bielefeld,Borussia Dortmund,6.6,4.6,1.4,1.5,2.19,1.65,1.91,2.70,None,1.07,None,2020-10-26,2252
Bundesliga,2020-10-31,1430,Eintracht Frankfurt,Werder Bremen,1.75,3.9,3.95,1.45,2.25,1.45,2.25,1.21,None,1.95,None,2020-10-26,2252
Bundesliga,2020-10-31,1430,Augsburgo,Mainz 05,1.91,3.5,3.7,1.55,2.05,1.5,2.18,1.23,None,1.8,None,2020-10-26,2252
Premiership,2020-10-31,1500,Livingston FC,Motherwell FC,2.33,3.3,2.86,1.9,1.6,1.7,1.78,1.36,None,1.53,None,2020-10-26,2259
Championship,2020-10-31,1500,Swansea City,Blackburn Rovers,2.33,3.2,2.96,1.75,1.72,1.57,1.95,1.35,None,1.53,None,2020-10-26,2256
Championship,2020-10-31,1500,Millwall FC,Huddersfield,2.04,3.0,3.9,2.1,1.47,1.83,1.65,1.21,None,1.7,None,2020-10-26,2256
Premier_League,2020-10-31,1500,Burnley,Chelsea,5.85,4.15,1.5,1.53,2.1,1.61,1.95,2.40,None,1.1,None,2020-10-26,2305
Championship,2020-10-31,1500,Bournemouth,Derby County,1.61,3.6,5.5,1.9,1.6,1.88,1.61,1.11,None,2.17,None,2020-10-26,2256
