League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Premier_League,2020-11-02,1730,Fulham,West Brom,2.37,3.15,2.92,1.88,1.67,1.67,1.88,1.36,None,1.5,None,2020-11-01,2102
Primeira_Liga,2020-11-02,1845,SC Braga,Famalicao,1.38,4.75,6.8,1.42,2.25,1.6,1.91,1.07,None,2.8,None,2020-11-01,2059
Bundesliga,2020-11-02,1930,Hoffenheim,1. FC Union Berlin,1.91,3.55,3.65,1.55,2.05,1.47,2.2,1.24,None,1.78,None,2020-11-01,2050
Serie_A,2020-11-02,1945,Hellas Verona,Benevento Calcio,2.04,3.35,3.45,1.67,1.87,1.55,2.05,1.26,None,1.7,None,2020-11-01,2101
La_Liga,2020-11-02,2000,Villarreal,Real Valladolid,1.6,3.65,5.55,1.87,1.67,1.85,1.7,1.11,None,2.2,None,2020-11-01,2057
Premier_League,2020-11-02,2000,Leeds United,Leicester,2.45,3.4,2.65,1.63,1.95,1.5,2.17,1.42,None,1.47,None,2020-11-01,2102
Primeira_Liga,2020-11-02,2100,Boavista FC,SL Benfica,9.0,5.3,1.28,1.4,2.3,1.7,1.78,3.35,None,1.03,None,2020-11-01,2059
Championship,2020-11-03,1900,Norwich City,Millwall FC,1.91,3.4,3.55,1.83,1.65,1.7,1.78,1.24,None,1.75,None,2020-11-01,2053
Championship,2020-11-03,1900,Brentford FC,Swansea City,1.95,3.3,3.5,1.83,1.65,1.67,1.8,1.25,None,1.72,None,2020-11-01,2053
Championship,2020-11-03,1900,Huddersfield,Bristol City,2.63,3.0,2.58,1.95,1.57,1.7,1.78,1.42,None,1.42,None,2020-11-01,2053
Championship,2020-11-03,1900,Sheffield Wednesday,Bournemouth,3.25,2.96,2.19,1.9,1.6,1.67,1.8,1.57,None,1.28,None,2020-11-01,2053
Championship,2020-11-03,1945,Cardiff,Barnsley FC,2.1,3.2,3.2,1.87,1.63,1.67,1.8,1.28,None,1.63,None,2020-11-01,2053
Championship,2020-11-03,1945,Blackburn Rovers,Middlesbrough,2.3,3.15,2.9,1.95,1.57,1.72,1.75,1.35,None,1.53,None,2020-11-01,2053
Serie_A,2020-11-04,1600,Genova,Torino,2.56,3.3,2.58,1.67,1.87,1.53,2.1,1.44,None,1.45,None,2020-11-01,2101
Championship,2020-11-04,1900,Watford,Stoke City,2.13,2.98,3.4,2.33,1.38,2.0,1.55,1.26,None,1.61,None,2020-11-01,2053
Championship,2020-11-04,1900,Reading,Preston,2.45,2.86,2.9,2.02,1.53,1.72,1.75,1.35,None,1.45,None,2020-11-01,2053
Championship,2020-11-04,1945,Derby County,Queens Park Rangers,2.25,3.15,2.92,1.87,1.63,1.65,1.83,1.35,None,1.53,None,2020-11-01,2053
Championship,2020-11-04,1945,Nottingham Forest,Coventry City,1.75,3.25,4.6,1.9,1.61,1.78,1.7,1.15,None,1.95,None,2020-11-01,2053
Championship,2020-11-04,1945,Birmingham,Wycombe,1.7,3.25,4.95,1.95,1.57,1.85,1.65,1.13,None,2.0,None,2020-11-01,2053
Championship,2020-11-04,1945,Rotherham,Luton Town,2.33,2.84,3.15,2.02,1.53,1.72,1.75,1.30,None,1.5,None,2020-11-01,2053
RFPL,2020-11-06,1600,PFC Sochi,FC Ufa,1.63,3.3,5.55,2.25,1.4,2.17,1.44,1.10,None,2.13,None,2020-11-01,2056
Premier_League,2020-11-06,1730,Brighton,Burnley,1.83,3.5,4.05,1.78,1.75,1.67,1.87,1.20,None,1.88,None,2020-11-01,2102
Eredivisie,2020-11-06,1900,Fortuna Sittard,PEC Zwolle,2.7,3.25,2.5,1.6,1.91,1.47,2.15,1.47,None,1.42,None,2020-11-01,2049
Bundesliga,2020-11-06,1930,Werder Bremen,Colonia,2.3,3.35,2.9,1.63,1.95,1.5,2.18,1.36,None,1.53,None,2020-11-01,2050
Premiership,2020-11-06,1945,FC St Johnstone,Kilmarnock FC,2.18,3.0,3.25,2.02,1.53,1.75,1.72,1.28,None,1.6,None,2020-11-01,2055
Premiership,2020-11-06,1945,Aberdeen FC,Hibernian FC,2.02,3.4,3.2,1.91,1.6,1.75,1.72,1.28,None,1.67,None,2020-11-01,2055
Premiership,2020-11-06,1945,Ross County,Livingston FC,2.98,3.2,2.2,1.91,1.6,1.7,1.78,1.57,None,1.33,None,2020-11-01,2055
Serie_A,2020-11-06,1945,Sassuolo,Udinese,1.85,3.75,3.65,1.45,2.25,1.42,2.35,1.24,None,1.85,None,2020-11-01,2101
La_Liga,2020-11-06,2000,Elche CF,Celta de Vigo,3.25,2.96,2.3,2.33,1.42,1.95,1.63,1.55,None,1.3,None,2020-11-01,2057
Premier_League,2020-11-06,2000,Southampton,Newcastle,1.75,3.7,4.2,1.65,1.91,1.61,1.95,1.19,None,1.95,None,2020-11-01,2102
Ligue_1,2020-11-06,2000,Estrasburgo,Marselha,2.72,3.05,2.6,1.9,1.6,1.67,1.8,1.44,None,1.4,None,2020-11-01,2052
Primeira_Liga,2020-11-06,2030,Belenenses SAD,Rio Ave FC,2.96,3.25,2.3,1.85,1.65,1.67,1.8,1.55,None,1.35,None,2020-11-01,2059
RFPL,2020-11-07,1100,Ural Sverdlovskaya Oblast,Spartak Moscovo,5.15,3.2,1.7,1.9,1.57,1.8,1.65,2.02,None,1.12,None,2020-11-01,2056
Premier_League,2020-11-07,1230,Everton,Manchester United,2.74,3.4,2.37,1.63,1.95,1.5,2.15,1.50,None,1.4,None,2020-11-01,2102
La_Liga,2020-11-07,1300,Huesca,Eibar,2.1,3.05,3.65,2.45,1.38,2.11,1.53,1.24,None,1.65,None,2020-11-01,2057
RFPL,2020-11-07,1330,Arsenal Tula,Rotor Volgograd,1.78,3.35,4.15,1.95,1.55,1.83,1.63,1.18,None,1.91,None,2020-11-01,2056
Serie_A,2020-11-07,1400,Cagliari,Sampdoria,2.78,3.45,2.33,1.55,2.05,1.45,2.25,1.53,None,1.38,None,2020-11-01,2101
Bundesliga,2020-11-07,1430,1. FC Union Berlin,Arminia Bielefeld,1.9,3.35,3.95,1.7,1.85,1.6,2.0,1.21,None,1.8,None,2020-11-01,2050
Bundesliga,2020-11-07,1430,RB Leipzig,Friburgo,1.32,4.85,8.5,1.44,2.3,1.67,1.87,1.04,None,3.1,None,2020-11-01,2050
