,Unnamed: 0,League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
38,38,Serie_A,2020-07-22,2045,Spal,AS Roma,6.6,4.8,1.38,1.4,2.4,1.55,2.05,2.78,1.12,1.07,2020-07-19,1145
39,39,RFPL,2020-07-22,1700,CSKA Moscovo,Tambov,1.28,4.15,6.45,1.65,1.75,1.95,1.5,1.03,1.11,2.98,2020-07-19,1145
40,40,La_Liga,2020-07-19,2000,Leganes,Real Madrid,3.3,3.35,2.1,1.83,1.72,1.65,1.9,1.67,1.25,1.28,2020-07-19,1145
41,41,La_Liga,2020-07-19,2000,Levante,Getafe,4.6,3.55,1.72,1.83,1.72,1.75,1.8,2.00,1.23,1.16,2020-07-19,1145
42,42,La_Liga,2020-07-19,2000,Espanhol,Celta de Vigo,4.85,3.55,1.7,2.00,1.6,1.91,1.65,2.04,1.23,1.14,2020-07-19,1145
43,43,Serie_A,2020-07-19,1615,Parma,Sampdoria,3.0,2.94,2.45,1.80,1.75,1.57,2.02,1.47,1.32,1.33,2020-07-19,1145
44,44,Champions,2020-08-07,2000,Manchester City,Real Madrid,1.63,4.25,4.33,None,None,None,None,None,None,None,2020-07-19,1145
45,45,Premiership,2020-08-01,1730,Aberdeen FC,Rangers,7.1,4.45,1.4,1.57,1.95,1.72,1.75,2.72,1.13,1.06,2020-07-19,1145
46,46,RFPL,2020-07-19,1830,Krasnodar,Dinamo Moscovo,1.65,3.1,3.95,1.80,1.6,1.72,1.67,1.15,1.22,1.95,2020-07-19,1145
47,47,MLS,2020-07-21,1400,Toronto FC,New England Revolution,2.12,3.25,3.35,1.67,1.78,1.55,1.95,1.28,1.25,1.63,2020-07-19,1145
48,48,Serie_A,2020-07-23,2045,Lazio,Cagliari,1.47,4.45,5.7,1.45,2.25,1.57,2.02,1.10,1.14,2.5,2020-07-19,1145
49,49,Primeira_Liga,2020-07-20,2115,FC Porto,Moreirense,1.33,4.95,7.85,1.57,2.02,1.87,1.67,1.04,1.11,3.0,2020-07-19,1145
50,50,Premier_League,2020-07-20,1800,Brighton,Newcastle,1.78,3.45,4.35,1.91,1.65,1.80,1.75,1.18,1.23,1.91,2020-07-19,1145
51,51,Liga_Europa,2020-08-05,1755,Shakhtar Donetsk,Wolfsburgo,2.56,3.35,2.56,None,None,None,None,None,None,None,2020-07-19,1145
52,52,Liga_Europa,2020-08-06,1755,Bayer Leverkusen,Rangers,1.67,3.85,4.55,None,None,None,None,None,None,None,2020-07-19,1145
53,53,Liga_Europa,2020-08-06,1755,Sevilha,AS Roma,2.4,3.2,2.84,None,None,None,None,None,None,None,2020-07-19,1145
54,54,MLS,2020-07-20,330,Seattle Sounders,Vancouver Whitecaps FC,1.61,4.0,4.8,1.53,2.0,1.55,1.95,1.15,1.16,2.18,2020-07-19,1145
55,55,Premier_League,2020-07-21,1800,Watford,Manchester City,7.9,5.1,1.32,1.4,2.4,1.63,1.95,3.10,1.1,1.04,2020-07-19,1145
56,56,Premiership,2020-08-02,1630,Celtic,Hamilton Academical,1.12,7.65,17.5,1.3,2.63,2.10,1.47,-,1.06,5.3,2020-07-19,1145
57,57,Serie_A,2020-07-23,1830,Udinese,Juventus,4.8,3.85,1.63,1.65,1.91,1.63,1.95,2.13,1.19,1.14,2020-07-19,1145
58,58,Champions,2020-08-08,2000,Bayern Munique,Chelsea,1.55,4.25,5.1,None,None,None,None,None,None,None,2020-07-19,1145
59,59,Primeira_Liga,2020-07-21,1900,Sporting CP,Vitoria Setubal,1.42,4.25,7.0,1.87,1.67,2.05,1.55,1.06,1.16,2.63,2020-07-19,1145
60,60,Serie_A,2020-07-21,1830,Atalanta,Bolonha,1.27,5.85,8.0,1.27,2.94,1.53,2.1,1.04,1.08,3.4,2020-07-19,1145
61,61,Championship,2020-07-22,1930,Birmingham,Derby County,2.8,3.2,2.45,1.75,1.72,1.57,1.95,1.47,1.26,1.38,2020-07-19,1145
62,62,Premiership,2020-08-01,1500,St Mirren,Livingston FC,2.58,3.2,2.64,1.95,1.57,1.72,1.75,1.42,1.26,1.45,2020-07-19,1145
63,63,Premier_League,2020-07-22,1800,Manchester United,West Ham,1.26,5.7,9.0,1.4,2.4,1.75,1.8,1.03,1.12,3.5,2020-07-19,1145
64,64,Premiership,2020-08-01,1500,Dundee United,FC St Johnstone,2.74,3.05,2.6,2.00,1.55,1.72,1.75,1.44,1.28,1.4,2020-07-19,1145
65,65,Serie_A,2020-07-22,2045,Torino,Hellas Verona,2.3,3.3,2.92,1.80,1.75,1.63,1.95,1.36,1.25,1.55,2020-07-19,1145
66,66,Championship,2020-07-19,1400,Derby County,Leeds United,2.98,3.35,2.25,1.65,1.85,1.50,2.05,1.57,1.24,1.35,2020-07-19,1145
67,67,Championship,2020-07-22,1930,Brentford FC,Barnsley FC,1.31,4.9,9.0,1.53,2.02,1.80,1.67,1.03,1.14,3.15,2020-07-19,1145
68,68,MLS,2020-07-20,100,Chicago Fire,San Jose Earthquakes,2.45,3.5,2.6,1.50,2.02,1.42,2.19,1.44,1.22,1.5,2020-07-19,1145
69,69,Premier_League,2020-07-20,2015,Wolverhampton,Crystal Palace FC,1.5,3.85,6.7,2.12,1.53,2.25,1.45,1.07,1.19,2.45,2020-07-19,1145
70,70,Serie_A,2020-07-21,2045,Sassuolo,AC Milao,3.15,3.8,2.0,1.38,2.45,1.35,2.56,1.72,1.2,1.3,2020-07-19,1145
71,71,Liga_Europa,2020-08-06,2000,Wolverhampton,Olympiacos,1.88,3.25,4.15,None,None,None,None,None,None,None,2020-07-19,1145
72,72,Serie_A,2020-07-19,2045,AS Roma,Inter de Milao,3.05,3.5,2.15,1.45,2.25,1.38,2.45,1.63,1.23,1.33,2020-07-19,1145
73,73,Premier_League,2020-07-19,1600,Tottenham,Leicester,2.46,3.53,3.2,1.95,1.7,1.67,1.87,1.35,1.27,1.53,2020-07-19,1145
74,74,Premier_League,2020-07-20,1800,Sheffield United,Everton,2.1,3.2,3.45,2.10,1.53,1.85,1.7,1.27,1.27,1.65,2020-07-19,1145
75,75,Champions,2020-08-08,2000,Barcelona,Napoles,1.6,3.75,5.35,None,None,None,None,None,None,None,2020-07-19,1145
