League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
Serie_A,2020-07-25,2045,Napoles,Sassuolo,1.61,4.25,5.15,1.47,2.4,1.47,2.2,1.14,1.17,2.2,2020-07-25,2002
Primeira_Liga,2020-07-25,2115,SL Benfica,Sporting CP,1.79,4.21,4.89,1.67,1.95,1.63,1.95,1.18,1.2,2.02,2020-07-25,2001
Primeira_Liga,2020-07-25,2115,SC Braga,FC Porto,2.63,3.8,2.65,1.53,2.19,1.42,2.35,1.45,1.22,1.47,2020-07-25,2001
MLS,2020-07-26,100,Orlando City SC,Montreal Impact,2.04,3.4,3.4,None,None,None,None,None,None,None,2020-07-25,2001
MLS,2020-07-26,330,Philadelphia Union,New England Revolution,2.76,3.45,2.33,None,None,None,None,None,None,None,2020-07-25,2001
Premier_League,2020-07-26,1600,West Ham,Aston Villa,2.96,3.4,2.25,1.57,2.02,1.47,2.2,1.57,1.24,1.35,2020-07-25,2003
Premier_League,2020-07-26,1600,Arsenal,Watford,1.87,3.75,3.6,1.53,2.1,1.50,2.17,1.25,1.2,1.83,2020-07-25,2003
Premier_League,2020-07-26,1600,Southampton,Sheffield United,2.1,3.4,3.25,1.72,1.83,1.60,2.0,1.30,1.24,1.65,2020-07-25,2003
Premier_League,2020-07-26,1600,Manchester City,Norwich City,1.05,11.0,27.0,1.14,3.9,2.20,1.47,-,1.02,8.0,2020-07-25,2003
Premier_League,2020-07-26,1600,Everton,Bournemouth,2.17,3.6,2.94,1.50,2.16,1.42,2.33,1.35,1.22,1.61,2020-07-25,2003
Premier_League,2020-07-26,1600,Newcastle,Liverpool,6.7,4.8,1.38,1.42,2.35,1.61,1.95,2.80,1.12,1.07,2020-07-25,2003
Premier_League,2020-07-26,1600,Burnley,Brighton,2.2,3.4,3.0,1.75,1.8,1.61,1.95,1.33,1.24,1.57,2020-07-25,2003
Premier_League,2020-07-26,1600,Crystal Palace FC,Tottenham,5.6,4.05,1.53,1.67,1.88,1.75,1.8,2.33,1.18,1.11,2020-07-25,2003
Premier_League,2020-07-26,1600,Chelsea,Wolverhampton,1.85,3.55,3.9,1.75,1.8,1.67,1.88,1.21,1.22,1.85,2020-07-25,2003
Premier_League,2020-07-26,1600,Leicester,Manchester United,3.2,3.35,2.14,1.70,1.85,1.57,2.02,1.63,1.25,1.3,2020-07-25,2003
Serie_A,2020-07-26,1615,Bolonha,US Lecce,2.3,3.6,2.72,1.45,2.25,1.38,2.45,1.40,1.22,1.53,2020-07-25,2002
