League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
Ligue_1,2020-09-10,2000,RC Lens,PSG,4.55,3.6,1.72,1.75,1.72,1.7,1.78,2.00,None,1.16,2020-09-09,23
Championship,2020-09-11,1945,Watford,Middlesbrough,1.87,3.4,4.0,2.0,1.53,1.83,1.65,1.20,None,1.83,2020-09-09,26
Ligue_1,2020-09-11,2000,Bordeus,Lyon,3.95,3.05,2.0,1.95,1.57,1.75,1.72,1.72,None,1.21,2020-09-09,23
La_Liga,2020-09-11,2000,Granada CF,Athletic Bilbao,2.7,3.0,2.65,2.33,1.42,1.95,1.63,1.42,None,1.40,2020-09-09,31
RFPL,2020-09-12,1145,Tambov,FC Ufa,3.1,2.78,2.5,2.45,1.33,2.0,1.53,1.47,None,1.32,2020-09-09,29
Championship,2020-09-12,1230,Wycombe,Rotherham,2.72,3.15,2.54,1.75,1.72,1.57,1.95,1.45,None,1.40,2020-09-09,26
Premier_League,2020-09-12,1230,Fulham,Arsenal,5.2,4.1,1.55,1.61,1.95,1.67,1.88,2.30,None,1.12,2020-09-09,37
Championship,2020-09-12,1230,Birmingham,Brentford FC,4.1,3.4,1.85,1.8,1.67,1.7,1.78,1.85,None,1.20,2020-09-09,26
RFPL,2020-09-12,1430,Ural Sverdlovskaya Oblast,FK Khimki,2.3,3.15,3.05,2.2,1.42,1.91,1.57,1.32,None,1.55,2020-09-09,29
Premiership,2020-09-12,1500,St Mirren,Hibernian FC,3.4,3.25,2.1,1.91,1.6,1.72,1.75,1.65,None,1.27,2020-09-09,28
Championship,2020-09-12,1500,Millwall FC,Stoke City,2.52,3.0,2.86,2.11,1.47,1.8,1.67,1.36,None,1.47,2020-09-09,26
Premiership,2020-09-12,1500,Motherwell FC,FC St Johnstone,2.3,3.15,3.05,2.04,1.53,1.78,1.7,1.33,None,1.55,2020-09-09,28
Premiership,2020-09-12,1500,Rangers,Dundee United,1.15,7.05,15.0,1.42,2.25,2.25,1.42,-,None,4.80,2020-09-09,28
Premiership,2020-09-12,1500,Ross County,Celtic,17.0,6.65,1.15,1.4,2.3,2.12,1.47,4.75,None,-,2020-09-09,28
Premiership,2020-09-12,1500,Livingston FC,Hamilton Academical,1.67,3.65,4.85,2.02,1.53,1.95,1.57,1.14,None,2.05,2020-09-09,28
Championship,2020-09-12,1500,Preston,Swansea City,2.25,3.15,3.15,2.02,1.53,1.75,1.72,1.32,None,1.55,2020-09-09,26
Championship,2020-09-12,1500,Queens Park Rangers,Nottingham Forest,2.94,3.15,2.37,1.9,1.61,1.67,1.8,1.50,None,1.35,2020-09-09,26
Championship,2020-09-12,1500,Bournemouth,Blackburn Rovers,1.95,3.35,3.65,1.83,1.65,1.67,1.8,1.24,None,1.75,2020-09-09,26
Premiership,2020-09-12,1500,Aberdeen FC,Kilmarnock FC,1.8,3.45,4.25,2.0,1.55,1.87,1.63,1.18,None,1.91,2020-09-09,28
Championship,2020-09-12,1500,Huddersfield,Norwich City,3.35,3.2,2.13,1.83,1.65,1.65,1.83,1.63,None,1.28,2020-09-09,26
La_Liga,2020-09-12,1500,Eibar,Celta de Vigo,2.4,3.1,2.92,2.1,1.53,1.83,1.72,1.36,None,1.50,2020-09-09,31
Championship,2020-09-12,1500,Bristol City,Coventry City,2.12,3.25,3.35,1.83,1.65,1.65,1.83,1.28,None,1.65,2020-09-09,26
Championship,2020-09-12,1500,Barnsley FC,Luton Town,2.1,3.3,3.3,1.8,1.67,1.63,1.87,1.28,None,1.65,2020-09-09,26
Premier_League,2020-09-12,1500,Crystal Palace FC,Southampton,2.98,3.1,2.37,2.02,1.57,1.75,1.8,1.53,None,1.33,2020-09-09,37
Championship,2020-09-12,1500,Cardiff,Sheffield Wednesday,2.05,3.2,3.55,1.91,1.6,1.72,1.75,1.25,None,1.67,2020-09-09,26
Championship,2020-09-12,1500,Derby County,Reading,2.0,3.3,3.6,1.78,1.7,1.61,1.88,1.24,None,1.72,2020-09-09,26
Ligue_1,2020-09-12,1600,Montpellier,Nice,2.18,3.15,3.3,1.95,1.57,1.72,1.75,1.28,None,1.61,2020-09-09,23
RFPL,2020-09-12,1700,FC Akhmat Grozny,PFC Sochi,2.5,3.15,2.76,2.15,1.44,1.85,1.61,1.38,None,1.47,2020-09-09,29
Premier_League,2020-09-12,1730,Liverpool,Leeds United,1.28,5.85,7.95,1.42,2.33,1.78,1.75,1.04,None,3.35,2020-09-09,37
La_Liga,2020-09-12,2000,Cadiz CF,CA Osasuna,2.74,2.92,2.68,2.4,1.4,2.0,1.6,1.42,None,1.40,2020-09-09,31
Ligue_1,2020-09-12,2000,Saint-Etienne,Estrasburgo,2.15,3.15,3.35,2.14,1.47,1.88,1.61,1.28,None,1.63,2020-09-09,23
Premier_League,2020-09-12,2000,West Ham,Newcastle,2.11,3.35,3.25,1.85,1.7,1.67,1.87,1.28,None,1.65,2020-09-09,37
Ligue_1,2020-09-13,1200,Lille,FC Metz,1.53,3.8,6.15,1.95,1.57,2.02,1.53,1.09,None,2.35,2020-09-09,23
Ligue_1,2020-09-13,1400,Angers,Stade Reims,2.3,2.92,3.3,2.45,1.35,2.04,1.53,1.28,None,1.55,2020-09-09,23
Ligue_1,2020-09-13,1400,Dijon,Stade Brestois 29,2.4,3.0,3.05,1.9,1.6,1.67,1.8,1.32,None,1.50,2020-09-09,23
Ligue_1,2020-09-13,1400,FC Lorient,RC Lens,2.1,3.2,3.5,2.05,1.5,1.83,1.65,1.26,None,1.67,2020-09-09,23
Premier_League,2020-09-13,1400,West Brom,Leicester,3.6,3.45,1.95,1.75,1.8,1.65,1.91,1.75,None,1.25,2020-09-09,37
Ligue_1,2020-09-13,1400,Nimes,Rennes,3.1,3.2,2.25,2.02,1.53,1.75,1.72,1.57,None,1.32,2020-09-09,23
RFPL,2020-09-13,1430,Dinamo Moscovo,Rubin Kazan,2.05,3.15,3.65,2.14,1.44,1.9,1.57,1.24,None,1.70,2020-09-09,29
La_Liga,2020-09-13,1500,Real Valladolid,Real Sociedad,2.84,3.15,2.45,2.05,1.55,1.8,1.75,1.47,None,1.38,2020-09-09,31
Ligue_1,2020-09-13,1600,Monaco,Nantes,1.91,3.45,3.75,1.67,1.8,1.57,1.95,1.23,None,1.80,2020-09-09,23
Premier_League,2020-09-13,1630,Tottenham,Everton,1.8,3.55,4.1,1.8,1.75,1.72,1.83,1.20,None,1.90,2020-09-09,37
RFPL,2020-09-13,1700,Rotor Volgograd,Krasnodar,6.0,4.05,1.5,1.83,1.63,1.95,1.55,2.40,None,1.09,2020-09-09,29
RFPL,2020-09-13,1700,CSKA Moscovo,Spartak Moscovo,2.4,3.1,2.94,1.83,1.63,1.61,1.85,1.35,None,1.50,2020-09-09,29
La_Liga,2020-09-13,1730,Villarreal,Huesca,1.57,3.9,5.3,1.75,1.8,1.8,1.75,1.12,None,2.25,2020-09-09,31
La_Liga,2020-09-13,2000,Valencia,Levante,2.02,3.4,3.45,1.67,1.87,1.57,2.02,1.27,None,1.72,2020-09-09,31
RFPL,2020-09-14,1630,Zenit Sao Petersburgo,Arsenal Tula,1.26,5.35,10.0,1.65,1.8,2.18,1.42,1.03,None,3.50,2020-09-09,29
Premier_League,2020-09-14,1800,Sheffield United,Wolverhampton,3.25,2.92,2.33,2.3,1.44,1.95,1.63,1.53,None,1.30,2020-09-09,37
RFPL,2020-09-14,1830,Rostov,Lokomotiv Moscovo,2.45,3.05,2.94,2.0,1.53,1.72,1.72,1.35,None,1.50,2020-09-09,29
La_Liga,2020-09-14,2000,Alaves,Betis,2.7,3.2,2.52,2.0,1.6,1.75,1.8,1.45,None,1.40,2020-09-09,31
Premier_League,2020-09-14,2015,Brighton,Chelsea,4.55,3.95,1.65,1.65,1.91,1.65,1.9,2.10,None,1.16,2020-09-09,37
Ligue_1,2020-09-15,2000,Montpellier,Lyon,3.55,3.1,2.1,1.87,1.63,1.67,1.8,1.65,None,1.25,2020-09-09,23
Ligue_1,2020-09-16,2000,PSG,FC Metz,1.09,9.0,20.0,1.16,3.75,1.83,1.65,-,None,6.20,2020-09-09,23
Ligue_1,2020-09-17,2000,Marselha,Saint-Etienne,1.83,3.25,4.45,1.9,1.6,1.75,1.72,1.17,None,1.87,2020-09-09,23
Primeira_Liga,2020-09-18,1900,Famalicao,SL Benfica,7.5,4.4,1.4,1.63,1.95,1.8,1.75,2.76,None,1.05,2020-09-09,33
Bundesliga,2020-09-18,1930,Bayern Munique,FC Schalke 04,1.13,7.9,14.5,1.18,3.5,1.7,1.85,1.02,None,5.15,2020-09-09,20
Ligue_1,2020-09-18,2000,Lyon,Nimes,1.44,4.1,7.15,1.67,1.8,1.8,1.67,1.06,None,2.60,2020-09-09,23
La_Liga,2020-09-18,2000,Getafe,CA Osasuna,1.95,3.2,3.95,2.33,1.42,2.05,1.55,1.21,None,1.75,2020-09-09,31
Primeira_Liga,2020-09-18,2115,Vitoria Guimaraes,Belenenses SAD,1.36,4.9,7.15,1.55,2.05,1.83,1.72,1.06,None,2.90,2020-09-09,33
Premier_League,2020-09-19,1230,Everton,West Brom,1.57,4.05,4.95,1.57,2.02,1.63,1.95,1.14,None,2.20,2020-09-09,37
Bundesliga,2020-09-19,1430,Estugarda,Friburgo,2.2,3.35,3.05,1.7,1.85,1.57,2.02,1.32,None,1.60,2020-09-09,20
Bundesliga,2020-09-19,1430,Eintracht Frankfurt,Arminia Bielefeld,1.63,4.0,4.6,1.5,2.15,1.53,2.11,1.16,None,2.14,2020-09-09,20
Bundesliga,2020-09-19,1430,1. FC Union Berlin,Augsburgo,2.17,3.25,3.2,1.88,1.67,1.67,1.87,1.30,None,1.61,2020-09-09,20
Bundesliga,2020-09-19,1430,Colonia,Hoffenheim,2.5,3.5,2.54,1.5,2.15,1.42,2.35,1.45,None,1.47,2020-09-09,20
Bundesliga,2020-09-19,1430,Werder Bremen,Hertha Berlin,2.66,3.4,2.45,1.65,1.91,1.5,2.14,1.47,None,1.42,2020-09-09,20
La_Liga,2020-09-19,1500,Villarreal,Eibar,1.67,3.9,4.45,1.57,2.02,1.57,2.02,1.17,None,2.05,2020-09-09,31
Premier_League,2020-09-19,1500,Leeds United,Fulham,1.75,3.5,4.4,1.88,1.67,1.8,1.75,1.17,None,1.95,2020-09-09,37
Ligue_1,2020-09-19,1600,RC Lens,Bordeus,2.78,3.0,2.58,2.02,1.53,1.72,1.75,1.45,None,1.38,2020-09-09,23
Primeira_Liga,2020-09-19,1600,CD Nacional Madeira,Boavista FC,2.45,2.86,3.1,2.3,1.44,1.91,1.65,1.32,None,1.47,2020-09-09,33
Serie_A,2020-09-19,1700,Fiorentina,Torino,1.91,3.5,3.7,1.67,1.87,1.6,2.0,1.23,None,1.80,2020-09-09,35
Premier_League,2020-09-19,1730,Manchester United,Crystal Palace FC,1.27,5.25,9.75,1.45,2.25,1.8,1.75,1.03,None,3.40,2020-09-09,37
Bundesliga,2020-09-19,1730,Borussia Dortmund,Borussia Monchengladbach,1.6,4.2,4.6,1.36,2.5,1.42,2.37,1.16,None,2.19,2020-09-09,20
Primeira_Liga,2020-09-19,1830,Sporting CP,Gil Vicente FC,1.42,4.4,6.85,1.75,1.8,1.95,1.61,1.07,None,2.68,2020-09-09,33
Serie_A,2020-09-19,1945,Hellas Verona,AS Roma,3.6,3.45,1.95,1.75,1.8,1.63,1.95,1.75,None,1.24,2020-09-09,35
Ligue_1,2020-09-19,2000,Rennes,Monaco,2.35,3.3,2.86,1.72,1.75,1.57,1.95,1.36,None,1.53,2020-09-09,23
La_Liga,2020-09-19,2000,Celta de Vigo,Valencia,2.54,3.35,2.58,1.8,1.75,1.65,1.91,1.45,None,1.45,2020-09-09,31
Premier_League,2020-09-19,2000,Arsenal,West Ham,1.53,4.05,5.5,1.53,2.1,1.6,2.0,1.11,None,2.33,2020-09-09,37
Primeira_Liga,2020-09-19,2100,FC Porto,SC Braga,1.63,3.7,5.15,1.65,1.91,1.65,1.91,1.13,None,2.15,2020-09-09,33
Serie_A,2020-09-20,1130,Parma,Napoles,4.9,3.8,1.63,1.5,2.14,1.53,2.12,2.14,None,1.14,2020-09-09,35
Premier_League,2020-09-20,1200,Southampton,Tottenham,3.05,3.35,2.2,1.83,1.72,1.67,1.88,1.60,None,1.32,2020-09-09,37
Ligue_1,2020-09-20,1400,FC Metz,Stade Reims,2.72,2.84,2.78,2.25,1.42,1.88,1.61,1.38,None,1.40,2020-09-09,23
Ligue_1,2020-09-20,1400,Montpellier,Angers,2.05,3.25,3.5,2.05,1.5,1.83,1.65,1.26,None,1.67,2020-09-09,23
Ligue_1,2020-09-20,1400,Stade Brestois 29,FC Lorient,2.4,3.0,3.05,2.05,1.5,1.78,1.7,1.33,None,1.50,2020-09-09,23
Premier_League,2020-09-20,1400,Newcastle,Brighton,2.52,3.15,2.74,2.16,1.5,1.87,1.67,1.40,None,1.45,2020-09-09,37
Serie_A,2020-09-20,1400,Genova,FC Crotone,1.91,3.3,3.9,1.75,1.8,1.63,1.95,1.21,None,1.78,2020-09-09,35
Ligue_1,2020-09-20,1400,Estrasburgo,Dijon,1.91,3.25,4.0,1.9,1.61,1.72,1.75,1.20,None,1.78,2020-09-09,23
Bundesliga,2020-09-20,1430,RB Leipzig,Mainz 05,1.35,5.15,6.85,1.3,2.8,1.47,2.2,1.07,None,2.94,2020-09-09,20
La_Liga,2020-09-20,1500,Huesca,Cadiz CF,2.25,3.1,3.2,2.33,1.42,1.95,1.61,1.30,None,1.57,2020-09-09,31
Primeira_Liga,2020-09-20,1600,CD Santa Clara,CS Maritimo,2.2,3.0,3.4,2.14,1.5,1.83,1.72,1.27,None,1.57,2020-09-09,33
Ligue_1,2020-09-20,1600,Nantes,Saint-Etienne,2.3,3.0,3.25,2.1,1.47,1.8,1.67,1.30,None,1.55,2020-09-09,23
Premier_League,2020-09-20,1630,Chelsea,Liverpool,3.1,3.35,2.18,1.57,2.02,1.45,2.25,1.61,None,1.32,2020-09-09,37
Bundesliga,2020-09-20,1700,Wolfsburgo,Bayer Leverkusen,2.76,3.4,2.37,1.63,1.95,1.5,2.16,1.50,None,1.38,2020-09-09,20
Serie_A,2020-09-20,1700,Sassuolo,Cagliari,1.95,3.7,3.35,1.47,2.2,1.42,2.33,1.28,None,1.75,2020-09-09,35
La_Liga,2020-09-20,1730,Granada CF,Alaves,2.4,3.1,2.94,2.19,1.5,1.88,1.67,1.35,None,1.50,2020-09-09,31
Primeira_Liga,2020-09-20,1830,Moreirense FC,SC Farense,2.2,2.96,3.45,2.11,1.53,1.83,1.72,1.27,None,1.57,2020-09-09,33
Premier_League,2020-09-20,1900,Leicester,Burnley,1.57,3.9,5.2,1.75,1.8,1.78,1.75,1.13,None,2.20,2020-09-09,37
Serie_A,2020-09-20,1945,Juventus,Sampdoria,1.27,5.65,8.5,1.42,2.37,1.8,1.75,1.03,None,3.45,2020-09-09,35
Ligue_1,2020-09-20,2000,Marselha,Lille,2.25,3.15,3.15,2.05,1.5,1.8,1.67,1.31,None,1.55,2020-09-09,23
La_Liga,2020-09-20,2000,Real Sociedad,Real Madrid,3.85,3.65,1.83,1.55,2.05,1.5,2.14,1.88,None,1.22,2020-09-09,31
Primeira_Liga,2020-09-20,2100,CD Tondela,Rio Ave FC,3.55,2.98,2.17,2.14,1.5,1.85,1.7,1.61,None,1.25,2020-09-09,33
Premier_League,2020-09-21,1800,Aston Villa,Sheffield United,2.68,3.05,2.64,2.0,1.6,1.75,1.8,1.42,None,1.40,2020-09-09,37
Serie_A,2020-09-21,1945,AC Milao,Bolonha,1.53,4.25,5.15,1.5,2.16,1.57,2.02,1.13,None,2.33,2020-09-09,35
Primeira_Liga,2020-09-21,1945,Portimonense,FC Pacos Ferreira,2.2,2.98,3.4,2.14,1.5,1.83,1.72,1.27,None,1.57,2020-09-09,33
La_Liga,2020-09-21,2000,Betis,Real Valladolid,1.88,3.5,3.8,1.8,1.75,1.7,1.85,1.22,None,1.83,2020-09-09,31
