web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning,Country
1601847140-96,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Nacional - Belenenses,https://www.oddsportal.com/soccer/portugal/primeira-liga/nacional-belenenses-lvh6YFai/,Primeira Liga,"Today, 04 Oct  2020, 14:30",Nacional - Belenenses,Final result,Portugal
1601846584-13,https://www.oddsportal.com/soccer/spain/laliga/,Cadiz CF - Granada CF,https://www.oddsportal.com/soccer/spain/laliga/cadiz-granada-cf-dQ8QQsmq/,LaLiga,"Today, 04 Oct  2020, 16:30",Cadiz CF - Granada CF,Final result,Spain
1601847071-86,https://www.oddsportal.com/soccer/germany/bundesliga/,Hoffenheim - Dortmund,https://www.oddsportal.com/soccer/germany/bundesliga/hoffenheim-dortmund-l0geiYSu/,Bundesliga,"Saturday, 17 Oct  2020, 13:30",Hoffenheim - Dortmund,,Germany
1601847754-190,https://www.oddsportal.com/soccer/england/premier-league/,Leicester - West Ham,https://www.oddsportal.com/soccer/england/premier-league/leicester-west-ham-ABcxa2a7/,Premier League,"Today, 04 Oct  2020, 11:00",Leicester - West Ham,Final result,England
1601846527-4,https://www.oddsportal.com/soccer/spain/laliga/,Huesca - Valladolid,https://www.oddsportal.com/soccer/spain/laliga/huesca-valladolid-OlOkJdps/,LaLiga,"Sunday, 18 Oct  2020, 15:00",Huesca - Valladolid,,Spain
1601846852-53,https://www.oddsportal.com/soccer/usa/mls/,San Jose Earthquakes - Los Angeles Galaxy,https://www.oddsportal.com/soccer/usa/mls/san-jose-earthquakes-los-angeles-galaxy-fmPrVRZN/,MLS,"Today, 04 Oct  2020, 02:30",San Jose Earthquakes - Los Angeles Galaxy,Final result,USA
1601846914-62,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Den Haag - Vitesse,https://www.oddsportal.com/soccer/netherlands/eredivisie/den-haag-vitesse-bmMlqQ1e/,Eredivisie,"Sunday, 18 Oct  2020, 12:30",Den Haag - Vitesse,,Netherlands
1601846765-39,https://www.oddsportal.com/soccer/usa/mls/,San Jose Earthquakes - Vancouver Whitecaps,https://www.oddsportal.com/soccer/usa/mls/san-jose-earthquakes-vancouver-whitecaps-x6oWv1kn/,MLS,"Thursday, 08 Oct  2020, 02:30",San Jose Earthquakes - Vancouver Whitecaps,,USA
1601847748-189,https://www.oddsportal.com/soccer/england/premier-league/,Southampton - West Brom,https://www.oddsportal.com/soccer/england/premier-league/southampton-west-brom-0j3RLP6K/,Premier League,"Today, 04 Oct  2020, 11:00",Southampton - West Brom,Final result,England
1601847454-143,https://www.oddsportal.com/soccer/england/championship/,Cardiff - Bournemouth,https://www.oddsportal.com/soccer/england/championship/cardiff-bournemouth-2NaQ7M1H/,Championship,"Wednesday, 21 Oct  2020, 18:45",Cardiff - Bournemouth,,England
