web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning,Country
1601207132-95,https://www.oddsportal.com/soccer/italy/serie-a/,,https://www.oddsportal.com/soccer/italy/serie-a/spezia-sassuolo-dftLjwQd/inplay-odds/,Italy,"Today, 27 Sep  2020, 10:30",Spezia - Sassuolo,The match has already started.,Soccer
1601206833-51,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Heracles - PSV,https://www.oddsportal.com/soccer/netherlands/eredivisie/heracles-psv-bD5uIm3d/,Eredivisie,"Today, 27 Sep  2020, 14:45",Heracles - PSV,,Netherlands
1601206606-18,https://www.oddsportal.com/soccer/russia/premier-league/,Dynamo Moscow - Krasnodar,https://www.oddsportal.com/soccer/russia/premier-league/dynamo-moscow-krasnodar-48HZndsB/,Premier League,"Sunday, 04 Oct  2020, 17:00",Dynamo Moscow - Krasnodar,,Russia
1601207380-131,https://www.oddsportal.com/soccer/england/championship/,Nottingham - Bristol City,https://www.oddsportal.com/soccer/england/championship/nottingham-bristol-city-Uks9dDmI/,Championship,"Saturday, 03 Oct  2020, 14:00",Nottingham - Bristol City,,England
1601206987-73,https://www.oddsportal.com/soccer/germany/bundesliga/,Union Berlin - Mainz,https://www.oddsportal.com/soccer/germany/bundesliga/union-berlin-mainz-8nLYZWc5/,Bundesliga,"Friday, 02 Oct  2020, 18:30",Union Berlin - Mainz,,Germany
1601207157-98,https://www.oddsportal.com/soccer/france/ligue-1/,Strasbourg - Lille,https://www.oddsportal.com/soccer/france/ligue-1/strasbourg-lille-lM2Uh0J0/,Ligue 1,"Sunday, 04 Oct  2020, 13:00",Strasbourg - Lille,,France
1601206724-35,https://www.oddsportal.com/soccer/scotland/premiership/,Hibernian - Hamilton,https://www.oddsportal.com/soccer/scotland/premiership/hibernian-hamilton-xxOg4ep0/,Premiership,"Friday, 02 Oct  2020, 18:45",Hibernian - Hamilton,,Scotland
1601206794-45,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Groningen - Ajax,https://www.oddsportal.com/soccer/netherlands/eredivisie/groningen-ajax-bRpEWnIk/,Eredivisie,"Sunday, 04 Oct  2020, 10:15",Groningen - Ajax,,Netherlands
1601207605-165,https://www.oddsportal.com/soccer/england/premier-league/,,https://www.oddsportal.com/soccer/england/premier-league/sheffield-utd-leeds-YPnboqV7/inplay-odds/,England,"Today, 27 Sep  2020, 11:00",Sheffield Utd - Leeds,The match has already started.,Soccer
1601207573-160,https://www.oddsportal.com/soccer/england/premier-league/,Fulham - Aston Villa,https://www.oddsportal.com/soccer/england/premier-league/fulham-aston-villa-n9pnlook/,Premier League,"Tomorrow, 28 Sep  2020, 16:45",Fulham - Aston Villa,,England
1601207424-138,https://www.oddsportal.com/soccer/england/championship/,Bournemouth - Norwich,https://www.oddsportal.com/soccer/england/championship/bournemouth-norwich-U9wmYx50/,Championship,"Today, 27 Sep  2020, 15:00",Bournemouth - Norwich,,England
1601207164-99,https://www.oddsportal.com/soccer/france/ligue-1/,Metz - Lorient,https://www.oddsportal.com/soccer/france/ligue-1/metz-lorient-dONk0rRQ/,Ligue 1,"Sunday, 04 Oct  2020, 13:00",Metz - Lorient,,France
1601206505-3,https://www.oddsportal.com/soccer/spain/laliga/,Sevilla - Levante,https://www.oddsportal.com/soccer/spain/laliga/sevilla-levante-Qwngqj3A/,LaLiga,"Thursday, 01 Oct  2020, 17:00",Sevilla - Levante,,Spain
1601206928-64,https://www.oddsportal.com/soccer/germany/bundesliga/,Augsburg - RB Leipzig,https://www.oddsportal.com/soccer/germany/bundesliga/augsburg-rb-leipzig-OhGCoUdH/,Bundesliga,"Saturday, 17 Oct  2020, 13:30",Augsburg - RB Leipzig,,Germany
1601206663-27,https://www.oddsportal.com/soccer/russia/premier-league/,R. Volgograd - Rubin Kazan,https://www.oddsportal.com/soccer/russia/premier-league/r-volgograd-rubin-kazan-hj5Okbch/,Premier League,"Today, 27 Sep  2020, 16:00",R. Volgograd - Rubin Kazan,,Russia
1601206511-4,https://www.oddsportal.com/soccer/spain/laliga/,Ath Bilbao - Cadiz CF,https://www.oddsportal.com/soccer/spain/laliga/ath-bilbao-cadiz-pSUepWm4/,LaLiga,"Thursday, 01 Oct  2020, 17:00",Ath Bilbao - Cadiz CF,,Spain
1601207278-115,https://www.oddsportal.com/soccer/england/championship/,Wycombe - Millwall,https://www.oddsportal.com/soccer/england/championship/wycombe-millwall-ENfZ29Rl/,Championship,"Saturday, 17 Oct  2020, 14:00",Wycombe - Millwall,,England
1601207535-154,https://www.oddsportal.com/soccer/england/premier-league/,Leicester - West Ham,https://www.oddsportal.com/soccer/england/premier-league/leicester-west-ham-ABcxa2a7/,Premier League,"Sunday, 04 Oct  2020, 11:00",Leicester - West Ham,,England
1601206536-8,https://www.oddsportal.com/soccer/spain/laliga/,Huesca - Atl. Madrid,https://www.oddsportal.com/soccer/spain/laliga/huesca-atl-madrid-bBSqmY3o/,LaLiga,"Wednesday, 30 Sep  2020, 17:00",Huesca - Atl. Madrid,,Spain
1601206542-9,https://www.oddsportal.com/soccer/spain/laliga/,Getafe - Betis,https://www.oddsportal.com/soccer/spain/laliga/getafe-betis-fc2ZSUIT/,LaLiga,"Tuesday, 29 Sep  2020, 19:30",Getafe - Betis,,Spain
1601207186-102,https://www.oddsportal.com/soccer/france/ligue-1/,Montpellier - Nimes,https://www.oddsportal.com/soccer/france/ligue-1/montpellier-nimes-250Ie2Zs/,Ligue 1,"Sunday, 04 Oct  2020, 11:00",Montpellier - Nimes,,France
1601207237-110,https://www.oddsportal.com/soccer/france/ligue-1/,Dijon - Montpellier,https://www.oddsportal.com/soccer/france/ligue-1/dijon-montpellier-fJN5HOv4/,Ligue 1,"Today, 27 Sep  2020, 13:00",Dijon - Montpellier,,France
1601206711-33,https://www.oddsportal.com/soccer/scotland/premiership/,St Johnstone - Celtic,https://www.oddsportal.com/soccer/scotland/premiership/st-johnstone-celtic-CfG61gUI/,Premiership,"Sunday, 04 Oct  2020, 11:00",St Johnstone - Celtic,,Scotland
1601206562-12,https://www.oddsportal.com/soccer/spain/laliga/,Valladolid - Celta Vigo,https://www.oddsportal.com/soccer/spain/laliga/valladolid-celta-vigo-KK7AYYlh/,LaLiga,"Today, 27 Sep  2020, 16:30",Valladolid - Celta Vigo,,Spain
1601206980-72,https://www.oddsportal.com/soccer/germany/bundesliga/,FC Koln - B. Monchengladbach,https://www.oddsportal.com/soccer/germany/bundesliga/1-fc-koln-b-monchengladbach-xMPxZjDB/,Bundesliga,"Saturday, 03 Oct  2020, 13:30",FC Koln - B. Monchengladbach,,Germany
1601207449-141,https://www.oddsportal.com/soccer/england/premier-league/,Sheffield Utd - Fulham,https://www.oddsportal.com/soccer/england/premier-league/sheffield-utd-fulham-OlSeJi2J/,Premier League,"Saturday, 17 Oct  2020, 14:00",Sheffield Utd - Fulham,,England
1601207243-111,https://www.oddsportal.com/soccer/france/ligue-1/,Angers - Brest,https://www.oddsportal.com/soccer/france/ligue-1/angers-brest-Y3ZdJpAi/,Ligue 1,"Today, 27 Sep  2020, 13:00",Angers - Brest,,France
1601206762-41,https://www.oddsportal.com/soccer/scotland/premiership/,,https://www.oddsportal.com/soccer/scotland/premiership/motherwell-rangers-jHqBCJxK/inplay-odds/,Scotland,"Today, 27 Sep  2020, 11:00",Motherwell - Rangers,The match has already started.,Soccer
1601207250-112,https://www.oddsportal.com/soccer/france/ligue-1/,Bordeaux - Nice,https://www.oddsportal.com/soccer/france/ligue-1/bordeaux-nice-CfY0I4Pc/,Ligue 1,"Today, 27 Sep  2020, 11:00",Bordeaux - Nice,The match has already started.,France
1601207509-150,https://www.oddsportal.com/soccer/england/premier-league/,Manchester Utd - Tottenham,https://www.oddsportal.com/soccer/england/premier-league/manchester-united-tottenham-l2dtbMED/,Premier League,"Sunday, 04 Oct  2020, 15:30",Manchester Utd - Tottenham,,England
1601207284-116,https://www.oddsportal.com/soccer/england/championship/,Swansea - Huddersfield,https://www.oddsportal.com/soccer/england/championship/swansea-huddersfield-6e6H9rX4/,Championship,"Saturday, 17 Oct  2020, 14:00",Swansea - Huddersfield,,England
1601207199-104,https://www.oddsportal.com/soccer/france/ligue-1/,Lens - St Etienne,https://www.oddsportal.com/soccer/france/ligue-1/lens-st-etienne-tYpbfhw8/,Ligue 1,"Saturday, 03 Oct  2020, 15:00",Lens - St Etienne,,France
1601207502-149,https://www.oddsportal.com/soccer/england/premier-league/,Aston Villa - Liverpool,https://www.oddsportal.com/soccer/england/premier-league/aston-villa-liverpool-6J0L2p0r/,Premier League,"Sunday, 04 Oct  2020, 18:15",Aston Villa - Liverpool,,England
1601207310-120,https://www.oddsportal.com/soccer/england/championship/,Brentford - Coventry,https://www.oddsportal.com/soccer/england/championship/brentford-coventry-n9IN7bDG/,Championship,"Saturday, 17 Oct  2020, 14:00",Brentford - Coventry,,England
1601206644-24,https://www.oddsportal.com/soccer/russia/premier-league/,Tambov - Arsenal Tula,https://www.oddsportal.com/soccer/russia/premier-league/fc-tambov-arsenal-tula-0zBrozCN/,Premier League,"Saturday, 03 Oct  2020, 13:30",Tambov - Arsenal Tula,,Russia
