web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning,Country
1601768243-100,https://www.oddsportal.com/soccer/italy/serie-a/,Crotone - Juventus,https://www.oddsportal.com/soccer/italy/serie-a/crotone-juventus-C6OBaY8R/,Serie A,"Saturday, 17 Oct  2020, 18:45",Crotone - Juventus,,Italy
1601767811-25,https://www.oddsportal.com/soccer/russia/premier-league/,FK Rostov - Akhmat Grozny,https://www.oddsportal.com/soccer/russia/premier-league/fk-rostov-akhmat-grozny-IBs91ed4/,Premier League,"Saturday, 17 Oct  2020, 13:00",FK Rostov - Akhmat Grozny,,Russia
1601767768-18,https://www.oddsportal.com/soccer/spain/laliga/,Elche - Huesca,https://www.oddsportal.com/soccer/spain/laliga/elche-huesca-YL0yqs9R/,LaLiga,"Today, 03 Oct  2020, 16:30",Elche - Huesca,Final result,Spain
1601767960-51,https://www.oddsportal.com/soccer/usa/mls/,,https://www.oddsportal.com/soccer/usa/mls/montreal-impact-chicago-fire-pU9KIAYq/inplay-odds/,USA,"Today, 03 Oct  2020, 23:30",Montreal Impact - Chicago Fire,The match has already started.,Soccer
1601768039-65,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Willem II - Feyenoord,https://www.oddsportal.com/soccer/netherlands/eredivisie/willem-ii-feyenoord-tjzJV6Xe/,Eredivisie,"Tomorrow, 04 Oct  2020, 12:30",Willem II - Feyenoord,,Netherlands
1601767880-37,https://www.oddsportal.com/soccer/scotland/premiership/,St Johnstone - Celtic,https://www.oddsportal.com/soccer/scotland/premiership/st-johnstone-celtic-CfG61gUI/,Premiership,"Tomorrow, 04 Oct  2020, 11:00",St Johnstone - Celtic,,Scotland
1601768248-101,https://www.oddsportal.com/soccer/italy/serie-a/,Sampdoria - Lazio,https://www.oddsportal.com/soccer/italy/serie-a/sampdoria-lazio-2y3jhj11/,Serie A,"Saturday, 17 Oct  2020, 16:00",Sampdoria - Lazio,,Italy
1601768515-149,https://www.oddsportal.com/soccer/england/championship/,Nottingham - Bristol City,https://www.oddsportal.com/soccer/england/championship/nottingham-bristol-city-Uks9dDmI/,Championship,"Today, 03 Oct  2020, 14:00",Nottingham - Bristol City,Final result,England
1601768419-131,https://www.oddsportal.com/soccer/england/championship/,Preston - Cardiff,https://www.oddsportal.com/soccer/england/championship/preston-cardiff-CY6DAOHb/,Championship,"Sunday, 18 Oct  2020, 11:00",Preston - Cardiff,,England
1601768152-85,https://www.oddsportal.com/soccer/germany/bundesliga/,Stuttgart - Bayer Leverkusen,https://www.oddsportal.com/soccer/germany/bundesliga/vfb-stuttgart-bayer-leverkusen-byEoXUsO/,Bundesliga,"Today, 03 Oct  2020, 13:30",Stuttgart - Bayer Leverkusen,Final result,Germany
1601768627-169,https://www.oddsportal.com/soccer/england/premier-league/,Newcastle - Burnley,https://www.oddsportal.com/soccer/england/premier-league/newcastle-utd-burnley-25pOM5iE/,Premier League,"Today, 03 Oct  2020, 19:00",Newcastle - Burnley,Final result,England
1601768333-116,https://www.oddsportal.com/soccer/france/ligue-1/,Nantes - Brest,https://www.oddsportal.com/soccer/france/ligue-1/nantes-brest-ARmPEstK/,Ligue 1,"Saturday, 17 Oct  2020, 18:00",Nantes - Brest,,France
1601768258-103,https://www.oddsportal.com/soccer/italy/serie-a/,Napoli - Atalanta,https://www.oddsportal.com/soccer/italy/serie-a/napoli-atalanta-dv0rfCWl/,Serie A,"Saturday, 17 Oct  2020, 13:00",Napoli - Atalanta,,Italy
1601768622-168,https://www.oddsportal.com/soccer/england/premier-league/,Leicester - West Ham,https://www.oddsportal.com/soccer/england/premier-league/leicester-west-ham-ABcxa2a7/,Premier League,"Tomorrow, 04 Oct  2020, 11:00",Leicester - West Ham,,England
1601768360-121,https://www.oddsportal.com/soccer/france/ligue-1/,Angers - Metz,https://www.oddsportal.com/soccer/france/ligue-1/angers-metz-plI86Jm0/,Ligue 1,"Saturday, 17 Oct  2020, 18:00",Angers - Metz,,France
1601768637-171,https://www.oddsportal.com/soccer/england/premier-league/,Everton - Brighton,https://www.oddsportal.com/soccer/england/premier-league/everton-brighton-Eq4T0OUf/,Premier League,"Today, 03 Oct  2020, 14:00",Everton - Brighton,Final result,England
1601767901-40,https://www.oddsportal.com/soccer/usa/mls/,San Jose Earthquakes - Los Angeles Galaxy,https://www.oddsportal.com/soccer/usa/mls/san-jose-earthquakes-los-angeles-galaxy-fmPrVRZN/,MLS,"Tomorrow, 04 Oct  2020, 02:30",San Jose Earthquakes - Los Angeles Galaxy,,USA
1601768146-84,https://www.oddsportal.com/soccer/germany/bundesliga/,Werder Bremen - Arminia Bielefeld,https://www.oddsportal.com/soccer/germany/bundesliga/werder-bremen-arminia-bielefeld-GCOtYASH/,Bundesliga,"Today, 03 Oct  2020, 13:30",Werder Bremen - Arminia Bielefeld,Final result,Germany
1601768328-115,https://www.oddsportal.com/soccer/france/ligue-1/,Nimes - Paris SG,https://www.oddsportal.com/soccer/france/ligue-1/nimes-paris-sg-OYTa8uJm/,Ligue 1,"Saturday, 17 Oct  2020, 18:00",Nimes - Paris SG,,France
1601767678-1,https://www.oddsportal.com/soccer/spain/laliga/,Villarreal - Valencia,https://www.oddsportal.com/soccer/spain/laliga/villarreal-valencia-6XJAEYbC/,LaLiga,"Sunday, 18 Oct  2020, 15:00",Villarreal - Valencia,,Spain
1601767763-17,https://www.oddsportal.com/soccer/spain/laliga/,Real Sociedad - Getafe,https://www.oddsportal.com/soccer/spain/laliga/real-sociedad-getafe-Wr1wOuX1/,LaLiga,"Today, 03 Oct  2020, 16:30",Real Sociedad - Getafe,Final result,Spain
1601767986-55,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Zwolle - PSV,https://www.oddsportal.com/soccer/netherlands/eredivisie/zwolle-psv-SMQhrpH1/,Eredivisie,"Sunday, 18 Oct  2020, 14:45",Zwolle - PSV,,Netherlands
1601767933-46,https://www.oddsportal.com/soccer/usa/mls/,Toronto FC - Philadelphia Union,https://www.oddsportal.com/soccer/usa/mls/toronto-fc-philadelphia-union-I7eckwp2/,MLS,"Today, 03 Oct  2020, 23:30",Toronto FC - Philadelphia Union,The match has already started.,USA
1601768376-124,https://www.oddsportal.com/soccer/france/ligue-1/,Strasbourg - Lille,https://www.oddsportal.com/soccer/france/ligue-1/strasbourg-lille-lM2Uh0J0/,Ligue 1,"Tomorrow, 04 Oct  2020, 13:00",Strasbourg - Lille,,France
